Intercept,input1,input2,input3,input4,input5,input6,input7
-9.486769009248164e-20,3.6348246945420964e-09,3.970466940254533e-23,1.3760987040073225e-08,2.3704788028131564e-13,1.0676816032472834e-08,9.549940796569246e-09,1.1085707928778707e-08
-1.6263032587282567e-19,2.178215187564271e-09,4.301339185275744e-23,1.0415475149976382e-10,1.3463313333806013e-13,3.381683166890889e-10,2.1433663963972586e-10,6.781749861691949e-08
-1.1858461261560205e-20,3.3271560799589813e-10,4.6270415514684986e-24,1.237763493735924e-09,1.2859653005387061e-09,9.61041474321413e-10,8.593726023882979e-10,9.975720137965207e-10
-4.912791094074942e-20,2.069157999024706e-09,1.819797347616661e-23,7.833570749972535e-09,1.3494172590258896e-13,6.07787751934195e-09,5.436393237644978e-09,6.310643060758047e-09
-5.877471754111438e-39,2.622073322559904e-27,0.0,1.2537851947985336e-28,1.6206752620572241e-31,7.860396483034042e-27,7.033081680378188e-27,8.164101852435185e-27
3.3881317890172014e-21,2.1502044154936467e-09,-1.2407709188295415e-24,1.0281537280980582e-10,1.329018175919524e-13,1.2081564378948947e-08,2.1158037625772737e-10,2.4560552830830143e-10
6.776263578034403e-21,1.030896055872373e-09,-4.963083675318166e-24,4.929390040729747e-11,6.37185741946973e-14,1.6004680615859217e-10,1.4317653046958456e-08,1.1775334875560827e-10
2.481541837659083e-23,6.519276364616492e-12,-1.0450829272367964e-26,3.117293523575664e-13,4.0294944611547937e-16,1.0121188791814007e-12,6.414975879569863e-13,7.446595794250677e-13
-6.564505341220828e-21,2.0734465708512872e-10,2.481541837659083e-24,7.713604080886109e-10,8.013992366323246e-10,5.989103310723453e-10,5.355514237034326e-10,6.216757559534485e-10
3.34477023813709e-28,8.012764572581955e-17,-1.2287433045190565e-31,3.831428169484504e-18,4.952603426809926e-21,1.2439832037743607e-17,7.884570094430901e-18,9.152521787595611e-18
