Intercept,input1,input2,input3,input4,input5,input6,input7
6.505213034913027e-19,1.966685062392175e-12,0.0,3.1944997792380906e-06,4.1504232350661946e-13,2.4438796261537335e-07,1.8624143899858772e-07,2.443879626153732e-07
-2.6020852139652106e-18,4.795931607925052e-13,2.4352197233561135e-21,3.4630085737887065e-13,1.0121166394725859e-13,3.44266637700459e-13,2.623562718753947e-13,1.311801974301376e-05
8.673617379884035e-18,1.3173453997417906e-12,-8.470329472543003e-21,5.025460772127459e-07,2.4263583707908476e-05,3.844681605859977e-08,2.9299275917851567e-08,3.844681605860554e-08
-5.293955920339377e-23,2.0219174860915576e-16,5.169878828456423e-26,3.2842141761215307e-10,4.26698380112923e-17,2.5125135913651422e-11,1.914718473658243e-11,2.5125135913651425e-11
7.346839692639297e-40,1.2009401689993848e-32,2.2420775429197073e-43,8.671654247802532e-33,2.5344220498391247e-33,1.4923351325158491e-27,1.137268135359535e-27,1.4923351325158495e-27
1.3010426069826053e-18,4.795931624343762e-13,-2.117582368135751e-22,3.4630085649213303e-13,1.012116606782408e-13,2.3104594210558045e-06,2.623562674747938e-13,3.442666365109733e-13
-1.0842021724855044e-18,2.0079196940457194e-13,5.293955920339377e-22,1.449862850508673e-13,4.2374434084243375e-14,1.4413461518056193e-13,2.4415517913092405e-06,1.4413461601435998e-13
3.308722450212111e-24,9.746244837425052e-12,1.6155871338926322e-27,7.037491760032929e-12,2.0568133575488304e-12,6.99615253931996e-12,5.33157812861367e-12,6.996152539319965e-12
-6.352747104407253e-22,6.335997061347707e-17,3.101927297073854e-25,2.417080929126464e-11,1.1669983731227631e-09,1.8491650834543375e-12,1.4091985644584217e-12,1.8491650834546153e-12
5.9164567891575885e-31,6.010402825240244e-19,9.62964972193618e-35,4.339944364488379e-19,1.2684143504925e-19,4.314450918231786e-19,3.287926045542983e-19,4.314450918231792e-19
