Intercept,input1,input2,input3,input4,input5,input6,input7
1.0164395367051604e-20,3.5764553790355512e-09,6.617444900424222e-24,9.961156333879504e-09,1.4021059046785275e-15,9.70504159059004e-09,9.46644885827746e-09,9.705041590590015e-09
4.235164736271502e-21,3.881822430825658e-10,1.6543612251060553e-24,2.3197942540068182e-14,1.5218213259242536e-16,6.491204772774248e-14,6.331622326005307e-14,1.0589942748489117e-08
1.2705494208814505e-21,3.524871754553951e-10,3.101927297073854e-25,9.738673883191496e-10,9.753927594262954e-10,9.488282547600627e-10,9.255018708712933e-10,9.488282547600613e-10
0.0,5.684267280930514e-09,9.926167350636332e-24,1.5831841594001397e-08,2.2284479612312183e-15,1.5424783627060742e-08,1.5045574405074605e-08,1.54247836270607e-08
-2.938735877055719e-38,7.003926747101806e-27,1.4349296274686127e-41,4.185577603463681e-31,2.7458044372452012e-33,1.9005801323991147e-26,1.853855489074787e-26,1.900580132399112e-26
-1.2705494208814505e-21,3.8818224308256636e-10,8.271806125530277e-25,2.319794254616864e-14,1.5218213569435266e-16,1.8652458227903453e-09,6.331622326010476e-14,6.491204772807852e-14
0.0,2.080186178953095e-10,3.101927297073854e-25,1.2431284614517874e-14,8.155117245442524e-17,3.478498744775558e-14,2.522827917861178e-09,3.478498744729029e-14
-8.271806125530277e-25,5.920660818705971e-12,1.5426175001596886e-27,3.5382130933458395e-16,2.3211231840664545e-18,9.900561514415489e-16,9.657162039884044e-16,9.900561514384284e-16
1.6940658945086007e-21,5.515232477243572e-10,3.101927297073854e-25,1.5237731817184395e-09,1.5261598717474098e-09,1.484595403852139e-09,1.4480975001103128e-09,1.484595403852137e-09
0.0,9.412588716076532e-14,1.9419536815245377e-29,5.625004650207782e-18,3.690091116374617e-20,1.5739782508556805e-17,1.535282922452966e-17,1.5739782508523272e-17
