Intercept,input1,input2,input3,input4,input5,input6,input7
-1.0587911840678754e-22,2.071247694299239e-12,-1.2924697071141057e-25,3.2370583418922224e-10,3.305986595796775e-13,2.483300308896989e-10,2.3038329465415535e-10,2.483300308896992e-10
-6.776263578034403e-21,1.884831717604226e-12,4.963083675318166e-24,1.828003025880723e-12,3.0007186072354625e-13,1.711878640583347e-12,1.5881616888950483e-12,3.273241446247175e-08
3.705769144237564e-22,4.969994555003039e-13,0.0,2.743192125306843e-11,7.528512151613396e-10,2.109744512118478e-11,1.9572739142301562e-11,2.1097445121184786e-11
-1.0587911840678754e-22,1.8763804958379527e-12,1.2924697071141057e-25,2.9325093050598044e-10,2.9949526485551693e-13,2.2496663618492085e-10,2.0870836541942646e-10,2.249666361849211e-10
2.938735877055719e-39,6.438380520200689e-29,-4.304788882405838e-42,6.244259878953981e-29,1.0250128988685692e-29,7.730322777115336e-27,7.171654687720515e-27,7.730322777115342e-27
1.2705494208814505e-21,1.8848317176011755e-12,-8.271806125530277e-25,1.828003025893596e-12,3.000718607204443e-13,5.766526411673048e-09,1.5881616888950483e-12,1.711878640567036e-12
5.082197683525802e-21,9.606632402259021e-13,-8.271806125530277e-25,9.316987259921783e-13,1.5294097787400966e-13,8.725123130950175e-13,7.416954499438908e-09,8.725123130938801e-13
-6.617444900424222e-24,9.474394183471087e-12,-2.4233807008389483e-27,9.188736094679445e-12,1.508356987686056e-12,8.60501915556858e-12,7.983137023417659e-12,8.605019155568588e-12
-1.5881867761018131e-22,4.4883439710449656e-13,1.0339757656912846e-25,2.4773447336359465e-11,6.798911297117969e-10,1.905285600741306e-11,1.7675911865483116e-11,1.9052856007413143e-11
-4.930380657631324e-32,1.4074680333165416e-19,-2.407412430484045e-35,1.3650321138638809e-19,2.240738776418498e-20,1.278318080608097e-19,1.1859344194954783e-19,1.2783180806080977e-19
