Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,1.0186226180430381e-16,3.877409121342317e-26,8.773054002954993e-11,2.825234390527483e-17,1.9376497306335156e-11,1.53403094895224e-11,1.93764973063352e-11
6.776263578034403e-21,1.051062437629034e-15,-7.940933880509066e-23,1.037417452461881e-15,2.9122936642401376e-16,8.160278397515518e-16,6.460465425818827e-16,1.1054983057221067e-07
1.0587911840678754e-22,3.6230901983977914e-17,-1.7448341046040428e-25,6.441236216963021e-12,3.590558262705612e-10,1.4226517318157857e-12,1.1263087191060614e-12,1.4226517318157792e-12
-1.3234889800848443e-23,1.6955476302771404e-16,0.0,1.4603181455752398e-10,4.702742104505055e-17,3.2253136256314236e-11,2.5534702395248217e-11,3.225313625631426e-11
1.1020259538958945e-39,1.161937283088776e-32,-4.259947331547444e-43,1.146852917956982e-32,3.219506950612156e-33,2.211796511704432e-27,1.751072058121609e-27,2.211796511704435e-27
-5.082197683525802e-21,1.051062449757757e-15,-4.963083675318166e-24,1.0374174710734447e-15,2.9122938896468545e-16,1.9470993336595713e-08,6.460465595390853e-16,8.160278315831432e-16
1.5246593050577406e-20,4.571557858494395e-16,4.963083675318166e-24,4.512209451973549e-16,1.2666915962950861e-16,3.5492832875947593e-16,2.13755883951116e-08,3.549283285526808e-16
-3.308722450212111e-24,9.482172544223445e-12,0.0,9.359074202975646e-12,2.6273294500673695e-12,7.361804821832793e-12,5.828316778979985e-12,7.361804821832801e-12
-1.0587911840678754e-22,5.932328034947838e-17,3.877409121342317e-26,1.0546667069570368e-11,5.879061303624515e-10,2.3294028764068228e-12,1.8441806320784194e-12,2.329402876406952e-12
3.009265538105056e-36,3.3982209238507e-24,-1.4693679385278594e-39,3.354104941256138e-24,9.415823082134476e-25,2.6383235557232724e-24,2.088752122658397e-24,2.6383235557232728e-24
