Intercept,input1,input2,input3,input4,input5,input6,input7
-2.0328790734103208e-20,1.6941289599617853e-10,3.308722450212111e-24,1.5159703367903956e-08,1.8744340258475513e-11,1.373799292541187e-08,1.3331043237567363e-08,1.3737992925411898e-08
-6.505213034913027e-19,1.7921161899828588e-10,-2.117582368135751e-22,1.7045054204364554e-10,1.9737609239956757e-11,1.659477175917108e-10,1.610319797369412e-10,1.2827841980811778e-06
1.1858461261560205e-20,3.0096438328446645e-11,0.0,1.2350909822721015e-09,2.2530018096079175e-08,1.1203166269675966e-09,1.0871303744992032e-09,1.1203166269675912e-09
-1.0587911840678754e-22,4.924432671869506e-12,-2.0679515313825692e-25,4.406567641842447e-10,5.448536903800439e-13,3.993310002169954e-10,3.8750193415419794e-10,3.9933100021699596e-10
0.0,1.128213680078965e-28,-3.587324068671532e-42,1.0730589589313548e-28,1.2425667979319094e-29,9.172352348924494e-27,8.900647017187848e-27,9.172352348924501e-27
0.0,1.79211618998029e-10,0.0,1.7045054204359343e-10,1.973760924041667e-11,2.2607177149545668e-07,1.6103197973640602e-10,1.6594771759128894e-10
0.0,9.553969732019134e-11,3.3087224502121107e-23,9.086907024187662e-11,1.052233791075039e-11,8.846856469603255e-11,3.0406192705902474e-07,8.846856469620047e-11
-1.9852334701272664e-23,9.46625070580362e-12,-1.6155871338926322e-27,9.003476297718828e-12,1.0425727887926333e-12,8.765629748544656e-12,8.505972438390383e-12,8.765629748544661e-12
6.88214269644119e-22,9.582726107409701e-13,-1.0339757656912846e-25,3.932537954053832e-11,7.173572841197542e-10,3.5670956385762284e-11,3.461430388600336e-11,3.567095638576204e-11
-2.524354896707238e-29,1.517857100747743e-17,3.0814879110195774e-33,1.443653971844218e-17,1.6717035706069845e-18,1.4055166897488864e-17,1.3638821816181133e-17,1.4055166897488886e-17
