Intercept,input1,input2,input3,input4,input5,input6,input7
1.6940658945086007e-21,1.8808660680617484e-12,-2.274746684520826e-24,1.909771612541524e-09,3.1776526033532393e-13,1.5138161312807214e-09,1.4162415513945774e-09,1.5138161312807206e-09
5.421010862427522e-20,2.3702388367511163e-12,-1.9356026333740848e-22,2.303677772758853e-12,3.9938050851905007e-13,2.172271651318631e-12,2.0322556419013137e-12,2.8948325645089096e-07
0.0,4.335186227790275e-13,2.895132143935597e-24,1.4680945812941625e-10,4.360774048647102e-09,1.1641350280332191e-10,1.0890995042705099e-10,1.1641350280332318e-10
0.0,2.69391564976991e-13,-2.0679515313825692e-25,2.735316310859267e-10,4.5512693450448754e-14,2.1681995524184682e-10,2.0284460142806667e-10,2.1681995524184669e-10
2.0571151139390031e-38,9.857406106534959e-30,-1.7577887936490505e-41,9.580590357953576e-30,1.660953235515671e-30,7.945606761063474e-27,7.433464483258992e-27,7.94560676106346e-27
0.0,2.370238836622282e-12,1.6543612251060553e-24,2.303677772729902e-12,3.9938050863940485e-13,5.098808547776938e-08,2.0322556418045336e-12,2.172271651330108e-12
4.0657581468206416e-20,1.218240861738176e-12,-1.1911400820763599e-22,1.1840302129838626e-12,2.0527115131109162e-13,1.1164908984856184e-12,6.614429580543431e-08,1.1164908983381735e-12
3.308722450212111e-24,9.480982083604116e-12,-9.693522803355793e-27,9.214737077136267e-12,1.597526539693121e-12,8.689111109206768e-12,8.129045491893275e-12,8.689111109206776e-12
4.235164736271502e-22,6.688278377400083e-14,2.5849394142282115e-25,2.26496042571524e-11,6.727754990393701e-10,1.796014917758105e-11,1.6802509240680365e-11,1.7960149177581374e-11
2.9582283945787943e-31,2.1173666877098714e-19,-9.62964972193618e-35,2.0579067812895186e-19,3.567720567395889e-20,1.940519900386766e-19,1.8154416890185546e-19,1.940519900386767e-19
