Intercept,input1,input2,input3,input4,input5,input6,input7
-6.776263578034403e-21,4.957529072268613e-12,1.6543612251060553e-23,4.285988047228066e-08,4.50877908579333e-12,2.1982790351625675e-08,1.8892790119384346e-08,2.198279035162567e-08
-3.469446951953614e-18,2.489015600905825e-12,0.0,2.4815826004182205e-12,2.2637126976015525e-12,2.1366349711741592e-12,1.8362999197449984e-12,1.384217696208186e-05
1.9073486328125e-06,3.9308090752607145e-10,1.1175870895385742e-08,4.249159246683121e-09,-29107365.704778373,-1.862645149230957e-09,2.3283064365386963e-09,-5.122274160385132e-09
0.0,3.7755225895968314e-14,7.754818242684634e-26,3.264094764779375e-10,3.433766507821039e-14,1.6741509801547472e-10,1.4388247620205394e-10,1.674150980154748e-10
1.5881867761018131e-22,3.7748155740189223e-14,2.5849394142282115e-26,3.7635427697366925e-14,3.433123490496501e-14,1.6738374736679837e-10,1.4385553234205835e-10,1.6738374736679837e-10
5.421010862427522e-20,2.489015602053464e-12,7.940933880509066e-23,2.481582606995547e-12,2.2637126937965216e-12,1.598719031847555e-07,1.836299916509068e-12,2.1366349719318566e-12
2.710505431213761e-20,1.1752161475025399e-12,-1.9852334701272664e-23,1.1717065769315908e-12,1.0688368963150266e-12,1.0088357494629206e-12,1.0661487991388634e-07,1.00883574941908e-12
1.6543612251060553e-24,2.5800212774608273e-12,-9.087677628146056e-28,2.5723165103511723e-12,2.3464806372543862e-12,2.2147565829570835e-12,1.903440401242721e-12,2.2147565829570823e-12
2.9802322387695312e-08,-5.239779891102186e-12,0.0,5.3432813729159534e-11,-174765.18792703346,-2.9103830456733704e-11,3.637978807091713e-11,1.0913936421275139e-11
0.0,1.44751998648902e-18,-2.407412430484045e-34,1.443197229742827e-18,1.3164920964055083e-18,1.242588364307466e-18,1.0679245353360666e-18,1.2425883643074651e-18
