Intercept,input1,input2,input3,input4,input5,input6,input7
6.617444900424221e-23,9.644115940254525e-14,-1.1632227364026952e-25,1.463531011748041e-10,6.391447633237111e-14,3.718123002750351e-12,2.795661271601724e-12,3.718123002750301e-12
4.235164736271502e-22,1.47842205544927e-14,0.0,1.4782079841504735e-14,9.797950591605235e-15,1.0708017309274656e-14,8.051371421195544e-15,2.750466770987198e-09
1.1175870895385742e-08,-9.288473057059174e-12,7.275957614183426e-12,-1.8189894035458565e-12,-57897.902667580034,2.091837814077735e-11,4.8203219193965197e-11,-3.637978807091713e-11
0.0,1.5783503705190386e-13,-1.0339757656912846e-25,2.3952062884448067e-10,1.0460205790322986e-13,6.085058345816646e-12,4.575362875368293e-12,6.085058345816599e-12
4.963083675318166e-24,1.578575161665269e-13,2.0194839173657902e-27,1.5783465885632212e-13,1.0461695549299047e-13,6.085924989407141e-12,4.576014505752859e-12,6.085924989407165e-12
1.3234889800848443e-23,1.4784220554578375e-14,2.5849394142282115e-26,1.4782079842338378e-14,9.797950590668599e-15,3.177701455781667e-11,8.051371422207861e-15,1.070801730993018e-14
8.271806125530277e-24,6.107114735321274e-15,-7.472090494253424e-27,6.106230442832076e-15,4.047369843188007e-15,4.4233032142581435e-15,1.8537028374173307e-11,4.423303214229265e-15
1.6543612251060553e-23,7.2359743965005914e-12,-4.4428646182047385e-27,7.234926648408306e-12,4.795499319705989e-12,5.2409214814835554e-12,3.9406553259403024e-12,5.24092148148357e-12
-2.9802322387695312e-08,-7.39699156430229e-13,1.4551915228366852e-11,0.0,-93337.62834571413,2.3646862246096134e-11,8.549250196665525e-11,-2.9103830456733704e-11
6.162975822039155e-33,3.193501386529669e-21,-2.539067797776141e-36,3.1930389767971122e-21,2.1164300600606576e-21,2.3130112270581013e-21,1.7391559944313638e-21,2.313011227058108e-21
