Intercept,input1,input2,input3,input4,input5,input6,input7
1.5881867761018131e-22,1.3939693013988456e-16,-3.101927297073854e-25,3.304860506766177e-10,1.2027798499429182e-16,6.335110653329343e-11,4.9770340900133234e-11,6.33511065332934e-11
1.0842021724855044e-19,3.621179967584399e-16,-6.617444900424221e-23,3.6210296520885286e-16,3.124519334614012e-16,2.7911367143069396e-16,2.1927928463861731e-16,2.3093808361998575e-07
-1.4901161193847656e-07,1.0092329802187587e-10,9.094947017729282e-11,-1.2141754268668592e-10,-170415.7423642547,1.546140993013978e-11,-7.606359986311872e-12,2.4499513529008254e-11
-2.117582368135751e-22,2.216241866735533e-16,-2.5849394142282115e-25,5.254326770810762e-10,1.912273861177112e-16,1.0072056425282551e-10,7.912879652516324e-11,1.0072056425282535e-10
1.0587911840678754e-22,2.2163306501709203e-16,-5.977672395402739e-26,2.2162368418455603e-16,1.9123504662262183e-16,1.0072459916190352e-10,7.913196645874915e-11,1.0072459916190352e-10
-8.470329472543003e-22,3.621182003003693e-16,-3.101927297073854e-25,3.6210287189254e-16,3.124519842021463e-16,2.667212472048021e-09,2.1927930623013156e-16,2.7911375301138187e-16
3.1763735522036263e-22,1.5629446883439101e-16,-3.90972086402017e-25,1.5628785591641933e-16,1.3485794659155879e-16,1.2046877560672435e-16,1.6259555587316667e-09,1.2046877618702305e-16
-8.271806125530277e-25,2.582587266605281e-12,-2.8272774843121063e-27,2.582477953932654e-12,2.2283732625767186e-12,1.990608663105966e-12,1.5638759476044162e-12,1.990608663105965e-12
-1.7881393432617188e-07,1.5731736799258535e-10,1.646185410209e-10,-1.5279510989785194e-10,-266728.0090288444,-4.320099833421409e-12,-2.12700967949786e-11,1.5347723092418164e-11
1.504632769052528e-36,3.9960833236516204e-24,-9.183549615799121e-39,3.995914182204281e-24,3.44800167978795e-24,3.080104275821929e-24,2.4198131367295397e-24,3.0801042758219357e-24
