Intercept,input1,input2,input3,input4,input5,input6,input7
4.235164736271502e-22,1.767740490511267e-11,-4.1359030627651384e-25,1.0841980456515153e-09,1.1578245190336704e-11,8.150055603774808e-10,7.523095642439117e-10,8.150055603774803e-10
6.776263578034403e-21,5.114518509282003e-12,-2.6469779601696886e-23,5.113819894821766e-12,3.3498779740753202e-12,4.730978781110868e-12,4.367038408460768e-12,7.053655931606299e-08
0.0,-1.562673546988047e-10,0.0,5.820766091346741e-11,-417697.21512485796,4.729372449219227e-11,-8.731149137020111e-11,2.1827872842550278e-11
-4.235164736271502e-22,2.885858602802043e-11,-8.271806125530277e-25,1.7699669572425022e-09,1.8901631018375377e-11,1.330506836479495e-09,1.2281548335839924e-09,1.3305068364794949e-09
8.470329472543003e-22,2.8862498893105148e-11,-1.2924697071141057e-24,2.8858556438198604e-11,1.8904193844287112e-11,1.3306872366467287e-09,1.2283213560935302e-09,1.3306872366467293e-09
7.411538288475128e-22,5.1145185092604015e-12,-1.2924697071141057e-25,5.113819894817074e-12,3.3498779740914567e-12,8.193361309918363e-10,4.367038408443336e-12,4.730978781108409e-12
-2.117582368135751e-22,2.5936872982103355e-12,-2.0679515313825692e-25,2.5933330151231678e-12,1.6987984179204373e-12,2.3991856810073204e-12,5.856836835154053e-10,2.399185681007317e-12
3.308722450212111e-24,2.3426020231509546e-12,-2.0194839173657902e-28,2.342282036899089e-12,1.5343440257782207e-12,2.1669293881804295e-12,2.000233842594023e-12,2.166929388180427e-12
-1.1920928955078125e-07,-2.1400428601494807e-10,-5.820766091346741e-11,8.731149137020111e-11,-670982.4016893902,4.3655745685100555e-11,0.0,5.093170329928398e-11
9.860761315262648e-32,3.1100561963137342e-19,-9.62964972193618e-35,3.109631380141155e-19,2.0370067546642024e-19,2.876831875019091e-19,2.65552560561206e-19,2.87683187501909e-19
