Intercept,input1,input2,input3,input4,input5,input6,input7
7.806255641895632e-18,2.9961257433701793e-07,-5.082197683525802e-21,7.782228028656424e-06,6.760160846432388e-14,9.904176773339315e-07,4.845369416077309e-07,9.904176773339232e-07
2.541098841762901e-21,2.9371274759448366e-11,1.0339757656912846e-24,1.0064914311768918e-13,6.627041849891062e-18,1.294787185313176e-14,6.334420693046411e-15,1.292946470973894e-08
-1.1920928955078125e-07,1.4672848814286813e-10,1.4551915228366852e-10,-8.731149137020111e-11,-306215.3048688571,1.0913936421275139e-11,1.8189894035458565e-11,1.7189449863508344e-10
5.204170427930421e-18,4.803970751225587e-07,-6.776263578034403e-21,1.247797957470923e-05,1.0839203063904378e-13,1.5880299963836192e-06,7.769037399456943e-07,1.5880299963836062e-06
-1.1102230246251565e-16,0.00014018845761173073,1.2197274440461925e-19,4.803961778710663e-07,3.1630730297160467e-11,0.0004634155521812449,0.00022671440492842717,0.0004634155521812452
-1.0587911840678754e-22,2.937127475945349e-11,5.816113682013476e-26,1.0064914311791374e-13,6.627042521975309e-18,1.4934124785737488e-10,6.334420690694116e-15,1.2947871852313465e-14
1.3234889800848443e-23,7.894200556729863e-12,-2.5849394142282115e-26,2.7051754755052367e-14,1.7811689815549213e-18,3.4800361244837855e-15,5.668894075939237e-11,3.4800361244765154e-15
1.0339757656912846e-25,7.130084831156282e-13,-1.9129876951609536e-28,2.443329186394734e-15,1.6087614860435682e-19,3.143187534283346e-16,1.537725456255496e-16,3.1431875342813886e-16
-3.5762786865234375e-07,1.1998643386229374e-11,2.3283064365386963e-10,-6.912159733474255e-11,-483278.1720798256,6.548361852765083e-11,-1.0186340659856796e-10,2.546585164964199e-10
5.169878828456423e-26,1.399329084225155e-13,-6.72257402668031e-29,4.795204648783986e-16,3.157307085015705e-20,6.168725671646891e-17,3.01789390371636e-17,6.16872567163896e-17
