Intercept,input1,input2,input3,input4,input5,input6,input7
-3.3881317890172014e-21,1.022264086505262e-16,-2.481541837659083e-24,2.459366076405195e-08,9.367956632450895e-17,3.738078002125973e-09,2.9056605819343298e-09,3.738078002125947e-09
3.469446951953614e-18,2.9702994364221836e-16,4.235164736271502e-21,2.9651023593347224e-16,2.7220113150110267e-16,2.2567228821944387e-16,1.7540294744271007e-16,2.424589367831991e-05
-6.67572021484375e-06,1.716172621405212e-09,9.313225746154785e-10,-1.3387762010097504e-09,-13036705.492017105,-1.7462298274040222e-10,-4.656612873077393e-10,-2.5029294192790985e-09
2.6469779601696886e-23,1.249309007662766e-18,-1.2924697071141057e-26,3.005591569676382e-10,1.1448581312695389e-18,4.568305563686025e-11,3.551008137091966e-11,4.5683055636860174e-11
1.3234889800848443e-23,1.2474965825270205e-18,1.2924697071141057e-26,1.2453586410291389e-18,1.143197130789106e-18,4.561678142342445e-11,3.545856549311574e-11,4.561678142342445e-11
0.0,2.9702981808049794e-16,7.940933880509066e-23,2.9652094544086296e-16,2.721961121691457e-16,2.8002719327786623e-07,1.7540861528426729e-16,2.256599665370393e-16
-4.0657581468206416e-20,1.2684500050943113e-16,-1.3234889800848443e-23,1.2662762720114506e-16,1.162399493169858e-16,9.636690366753602e-17,1.6890067964248263e-07,9.636690035881357e-17
-8.271806125530277e-25,2.5825977468193817e-12,4.0389678347315804e-28,2.5781717071305864e-12,2.3666743724094227e-12,1.9620548201196203e-12,1.5251327947606921e-12,1.9620548201196175e-12
-1.4901161193847656e-08,3.050567117645365e-11,5.820766091346741e-11,-2.4556356947869062e-11,-161960.68818605013,-1.8189894035458565e-11,-2.9103830456733704e-11,-3.637978807091713e-11
0.0,1.805599313514171e-23,0.0,1.8025048888274331e-23,1.6546384846021045e-23,1.371752469252395e-23,1.0662824788061908e-23,1.3717524692523923e-23
