Intercept,input1,input2,input3,input4,input5,input6,input7
1.6940658945086007e-21,4.94302903741663e-11,7.237830359838992e-25,2.701896631095501e-09,2.2825051942893777e-11,1.8022536937352738e-09,1.619048828460996e-09,1.8022536937352765e-09
-1.3552527156068805e-20,1.2034653662217067e-11,2.6469779601696886e-23,1.2030565305491803e-11,5.55715114915286e-12,1.0838378127002693e-11,9.736622246858132e-12,9.577852001750561e-08
-5.364418029785156e-07,-2.510291329992596e-11,5.820766091346741e-10,-3.637978807091713e-12,-730972.7140870366,-2.0372681319713593e-10,2.1645973902195692e-10,2.9103830456733704e-11
2.541098841762901e-21,7.177961545601163e-11,1.6543612251060553e-24,3.923527450756982e-09,3.3145131028416546e-11,2.61712152834339e-09,2.3510827355401237e-09,2.6171215283433927e-09
8.470329472543003e-22,7.180352433771718e-11,1.0339757656912846e-24,7.177913157734904e-11,3.315617125218768e-11,2.6179932584109505e-09,2.3518658514518947e-09,2.617993258410952e-09
3.1763735522036263e-22,1.2034653662231331e-11,1.550963648536927e-25,1.203056530548781e-11,5.557151149141215e-12,1.1169042312005728e-09,9.736622246874928e-12,1.083837812699897e-11
8.470329472543003e-22,5.939562657155568e-12,-2.5849394142282115e-25,5.937544896468662e-12,2.742666999150156e-12,5.34915484849314e-12,7.758147994101816e-10,5.3491548484933435e-12
2.481541837659083e-24,2.426991713452978e-12,2.0194839173657902e-28,2.426167227080906e-12,1.1206936375491712e-12,2.1857424932842714e-12,1.9635547622237948e-12,2.185742493284274e-12
-6.556510925292969e-07,9.617813434045068e-11,4.656612873077393e-10,6.548361852765083e-11,-1046708.7219974895,-2.1827872842550278e-10,3.2378011383116245e-10,-1.4551915228366852e-10
3.944304526105059e-31,6.690737959271847e-19,2.407412430484045e-34,6.688465012794134e-19,3.0895315463589376e-19,6.025661393051941e-19,5.413133596582546e-19,6.02566139305194e-19
