Intercept,input1,input2,input3,input4,input5,input6,input7
2.168404344971009e-19,5.669016062303774e-08,-1.0587911840678754e-22,3.866344095504818e-07,1.7207651205979559e-10,1.6344091587086366e-07,1.2596830227140528e-07,1.7994588408730688e-07
1.3552527156068805e-19,1.118231197611712e-09,5.293955920339377e-23,1.0706320199982215e-09,3.394263167324588e-12,7.337179552117859e-10,4.857775882897104e-10,3.633492650675985e-07
-9.5367431640625e-07,6.372123699423606e-10,1.8917489796876907e-10,1.8917489796876907e-10,-3111076.2317654258,1.8098944565281272e-10,-2.219167072325945e-10,6.575646693818271e-10
0.0,3.2264171680580394e-08,-2.6469779601696886e-23,2.2004592737539705e-07,9.793421056280607e-11,9.301941838467598e-08,7.16925633324846e-08,1.0241292022459556e-07
-2.710505431213761e-20,3.369593997075843e-08,3.970466940254533e-23,3.226162206320182e-08,1.0228017978813956e-10,9.71472867500105e-08,7.487402231544744e-08,1.0695763853113668e-07
8.470329472543003e-22,1.0156903788471818e-09,4.1359030627651384e-25,9.724560040181141e-10,3.0830122159445827e-12,4.4708334915687455e-09,4.412322100646129e-10,6.303007875489658e-10
1.6940658945086007e-21,4.30058773941019e-10,-1.0339757656912846e-24,4.1175268123962e-10,1.3053943221747384e-12,2.8217943204483607e-10,2.46197479488478e-09,2.6687895204346625e-10
-4.1359030627651384e-25,1.819746130462113e-12,-8.077935669463161e-28,1.7422859241466415e-12,5.523631676517628e-15,1.1940110530799495e-12,7.905269397271033e-13,1.1292687644351771e-12
-4.76837158203125e-07,3.388324308430081e-10,7.676135282963514e-10,-7.275957614183426e-11,-1938367.7830168009,5.406946002040058e-10,-1.1823431123048067e-10,-2.801243681460619e-10
1.8932661725304283e-29,2.294991384903092e-17,-3.0814879110195774e-33,2.1973016559947633e-17,6.966184402747532e-20,1.5058392126387893e-17,9.969811095280583e-18,1.4241888152611445e-17
