Intercept,input1,input2,input3,input4,input5,input6,input7
8.673617379884035e-19,6.373210013673842e-13,-2.752857078576476e-21,3.807883137337339e-06,4.859156803742166e-13,2.0355976841142594e-07,1.542062853870666e-07,2.0355976841142466e-07
1.5612511283791264e-17,1.1268343091323054e-13,-2.541098841762901e-20,8.278287113422898e-14,8.591377511079105e-14,8.09626888101378e-14,6.133315172608027e-14,2.708679688307856e-05
0.000244140625,-9.469873952126336e-08,-2.384185791015625e-07,1.7881393432617188e-07,-4240405128.489194,-1.7285346984863281e-06,2.0265579223632812e-06,7.152557373046875e-07
2.117582368135751e-22,6.551975313044373e-17,-1.550963648536927e-25,3.9146923262181003e-10,4.995453682853533e-17,2.0926951657559282e-11,1.5853169340734153e-11,2.092695165755925e-11
3.3087224502121107e-23,7.020303828132675e-17,-3.715850407953054e-26,5.157466951820726e-17,5.352523617278765e-17,2.2422788807134028e-11,1.6986337707843113e-11,2.2422788807134064e-11
-8.131516293641283e-20,1.126834282956745e-13,2.6469779601696886e-23,8.278289268724702e-14,8.591376178987447e-14,3.128381960669203e-07,6.133313916616985e-14,8.096271524683017e-14
2.710505431213761e-20,4.689721234325282e-14,-1.0587911840678754e-22,3.445304204130341e-14,3.575606460103511e-14,3.369551055910549e-14,1.8389271127309716e-07,3.3695510532635713e-14
1.6543612251060553e-24,2.5825936372875332e-12,-5.4526065768876336e-27,1.8973026902842257e-12,1.9690591423160083e-12,1.855586011716105e-12,1.4056953803592546e-12,1.855586011716107e-12
5.960464477539063e-08,2.856815906991043e-11,-2.1827872842550278e-11,-4.3655745685100555e-11,-203929.20752886514,-1.000444171950221e-10,5.093170329928398e-11,9.458744898438454e-11
9.860761315262648e-32,1.5926575660707158e-19,-2.407412430484045e-34,1.170046050288114e-19,1.2142974782296921e-19,1.1443198257696336e-19,8.668771388561125e-20,1.1443198257696356e-19
