Intercept,input1,input2,input3,input4,input5,input6,input7
-3.3881317890172014e-21,2.146678913269106e-15,1.550963648536927e-25,2.5725115548458167e-09,1.9112282649406844e-15,1.0798990448422694e-09,9.03530115567862e-10,1.0798990448422694e-09
6.505213034913027e-19,2.7883723785340266e-15,1.0587911840678754e-22,2.7878338218256847e-15,2.4825394307127118e-15,2.3254123482085494e-15,1.945625971285639e-15,1.6520430654628881e-06
-1.0728836059570312e-06,6.660704299102382e-11,1.7462298274040222e-10,4.729372449219227e-10,-1256814.5304396786,9.265477274311706e-12,1.1095835361629725e-10,2.473825588822365e-10
-3.705769144237564e-22,3.3977638415226515e-16,7.754818242684634e-26,4.0717718381116093e-10,3.025092503229632e-16,1.7092644386804007e-10,1.430107659778985e-10,1.7092644386804005e-10
-1.0587911840678754e-22,3.3972085645709676e-16,1.6802106192483375e-25,3.396553177153268e-16,3.024598130553591e-16,1.708985103563443e-10,1.4298739456260617e-10,1.7089851035634417e-10
-6.776263578034403e-21,2.788372158166889e-15,3.166550782429559e-24,2.787834226352547e-15,2.4825397277852584e-15,1.9080222172689855e-08,1.9456263409885207e-15,2.3254122731322153e-15
-5.082197683525802e-21,1.281702003426257e-15,1.0339757656912846e-24,1.2814547388286696e-15,1.1411231951811407e-15,1.0688980550147289e-15,1.238732547895789e-08,1.068898050212396e-15
-2.481541837659083e-24,2.582579461067998e-12,1.6155871338926322e-27,2.582081232263558e-12,2.299318650639951e-12,2.153787808064549e-12,1.8020315476929154e-12,2.153787808064549e-12
-1.043081283569336e-07,6.356982570622016e-12,-2.9103830456733704e-11,1.0913936421275139e-10,-213258.6672953199,-1.9184653865522705e-11,8.708411769475788e-11,4.547473508864641e-11
-4.81482486096809e-35,9.809513374241828e-23,3.5264830524668625e-38,9.807620932133349e-23,8.733592671634121e-23,8.18081713534231e-23,6.844727465070597e-23,8.180817135342313e-23
