Intercept,input1,input2,input3,input4,input5,input6,input7
6.938893903907228e-18,3.602328367128897e-06,1.6940658945086007e-21,7.660589961082804e-06,3.484794245320807e-11,6.8939477586865515e-06,6.199967763089678e-06,6.893947758686558e-06
0.0,3.4766836164459955e-10,3.970466940254533e-23,1.2182492066468377e-11,3.3632489504576038e-15,1.1120150127521787e-11,1.0000739014072835e-11,9.474371610549138e-08
-7.152557373046875e-07,3.8639318657373595e-10,2.6193447411060333e-10,-7.639755494892597e-11,-1243001.4184518454,-4.3655745685100555e-11,1.7462298274040222e-10,-2.9103830456733704e-10
1.0408340855860843e-17,5.724890492833431e-06,8.046812998915853e-21,1.2174358961243715e-05,5.538102974407994e-11,1.0955996222312956e-05,9.853109679469658e-06,1.0955996222312957e-05
4.440892098500626e-16,0.0001633786202279186,2.710505431213761e-20,5.724877395636527e-06,1.5804802271484407e-09,0.0003126654646520343,0.00028119096188848955,0.00031266546465203446
1.7999450129153882e-21,3.4766836164458176e-10,-3.101927297073854e-25,1.218249206646702e-11,3.3632489386961294e-15,1.1052313133673646e-09,1.0000739014081766e-11,1.112015012751972e-11
1.5881867761018131e-22,1.7177638683831485e-10,7.754818242684634e-26,6.019139791625588e-12,1.661717931549816e-15,5.4942566558808e-12,7.684561528023681e-10,5.49425665588102e-12
3.101927297073854e-25,1.0950526348184386e-12,-8.04638123325432e-29,3.837125119161018e-14,1.0593240624565484e-17,3.5025187909292316e-14,3.14993735860778e-14,3.502518790929209e-14
-1.1920928955078125e-07,1.940190013038678e-10,0.0,8.003553375601768e-11,-1944704.7406894187,2.3283064365386963e-10,5.820766091346741e-11,-2.9103830456733704e-10
4.8467614016778965e-27,1.9072390238506427e-14,-6.680665791090444e-30,6.68307123691355e-16,1.8450110310188195e-19,6.100291718797606e-16,5.486205194162044e-16,6.100291718797551e-16
