Intercept,input1,input2,input3,input4,input5,input6,input7
-1.5881867761018131e-22,4.538138783440433e-13,6.462348535570529e-26,3.921471372627038e-10,4.0650034881656237e-13,1.7360511587066525e-10,1.4618267624767052e-10,1.7360511587066507e-10
0.0,3.461359003217072e-13,0.0,3.461185361210864e-13,3.1004861447618324e-13,2.908249715007952e-13,2.448866349916922e-13,1.58764315018737e-07
-1.341104507446289e-07,3.081091689113497e-11,1.1641532182693481e-10,-1.0186340659856796e-10,-207509.16956350507,-1.4551915228366852e-11,4.3655745685100555e-11,1.1641532182693481e-10
0.0,4.4571902048562206e-13,-2.5849394142282115e-26,3.8515225348498916e-10,3.9924944112038215e-13,1.705084526712131e-10,1.435751579630664e-10,1.7050845267121304e-10
-1.5881867761018131e-22,4.4572754113739215e-13,1.2924697071141057e-26,4.457051808069361e-13,3.9925707342957336e-13,1.705117122205222e-10,1.4357790263818142e-10,1.7051171222052226e-10
-8.470329472543003e-22,3.4613590035378105e-13,-4.1359030627651384e-25,3.461185361301337e-13,3.1004861452255705e-13,1.833930972161416e-09,2.4488663502056596e-13,2.908249714623313e-13
-5.293955920339377e-22,1.601241672840369e-13,-1.0339757656912846e-25,1.6011613450922724e-13,1.434300116436414e-13,1.3453705996144921e-13,1.1981832105814818e-09,1.345370599617594e-13
2.481541837659083e-24,2.354666591793981e-12,-1.8175355256292112e-27,2.3545484677862756e-12,2.1091747885788943e-12,1.9784016730471387e-12,1.6658959029430802e-12,1.978401673047137e-12
-1.1920928955078125e-07,4.266077085152194e-11,5.820766091346741e-11,-2.1827872842550278e-11,-202733.87255394371,5.4569682106375694e-11,1.4551915228366852e-11,6.548361852765083e-11
0.0,2.1243545360856683e-20,-1.2037062152420224e-35,2.1242479658933278e-20,1.9028745067901032e-20,1.7848924272268647e-20,1.502953127375622e-20,1.784892427226863e-20
