Intercept,input1,input2,input3,input4,input5,input6,input7
2.117582368135751e-22,5.659479421135077e-13,2.261821987449685e-26,3.9073084803971633e-10,5.112798968863174e-13,1.5958508477955165e-10,1.3306144033498244e-10,1.5958508477955165e-10
-8.131516293641283e-20,4.4127059606815497e-13,-2.6469779601696886e-23,4.4124854572635757e-13,3.986458260421855e-13,3.6653862055262687e-13,3.0561851602050857e-13,1.6870340136390086e-07
-1.9371509552001953e-07,3.0581174965538265e-11,2.9103830456733704e-11,5.820766091346741e-11,-208018.82495997837,1.546140993013978e-11,6.59383658785373e-12,2.1827872842550278e-11
2.6469779601696886e-22,5.126272464622351e-13,-7.108583389127582e-26,3.539182031308858e-10,4.631097424500143e-13,1.445498013147094e-10,1.205250778269182e-10,1.4454980131470951e-10
0.0,5.126337557524925e-13,2.5849394142282115e-26,5.126081393590015e-13,4.631156229720719e-13,1.4455163679385348e-10,1.2052660824248896e-10,1.4455163679385358e-10
1.6940658945086007e-21,4.412705960798622e-13,-3.101927297073854e-25,4.412485457161923e-13,3.9864582601212266e-13,1.9487969792024808e-09,3.0561851602041e-13,3.665386205529629e-13
-1.0587911840678754e-22,2.021351122793692e-13,-3.004992069040296e-25,2.0212501155495101e-13,1.826097626185712e-13,1.6790224836830527e-13,1.260746359616872e-09,1.6790224836791308e-13
1.6543612251060553e-24,2.3544713797682755e-12,-6.058451752097371e-28,2.35435372644437e-12,2.127039953134283e-12,1.9557267113216048e-12,1.6306775377506711e-12,1.9557267113216072e-12
-2.5331974029541016e-07,3.2872459952736855e-11,8.731149137020111e-11,5.093170329928398e-11,-187831.00847526107,1.9099388737231493e-11,9.094947017729282e-13,-3.637978807091713e-12
8.628166150854817e-32,3.515039239098699e-20,-3.3101920919155616e-35,3.5148635920070893e-20,3.1755021371860965e-20,2.9197450392985755e-20,2.434472374888066e-20,2.919745039298578e-20
