Intercept,input1,input2,input3,input4,input5,input6,input7
9.26442286059391e-23,2.6180602319192585e-17,-5.169878828456423e-26,1.0403455683223215e-10,2.4877465099826586e-17,5.8928349600284914e-12,4.4681358099034296e-12,5.8928349600285334e-12
-8.131516293641283e-20,2.0271957621849267e-16,3.970466940254533e-23,2.0271694426885613e-16,1.9262929141031474e-16,1.4866271286793285e-16,1.1272080204510754e-16,2.6986012571255036e-07
-7.450580596923828e-09,3.081946466119936e-12,3.637978807091713e-12,4.0472514228895307e-11,-59123.76925567507,2.8194335754960775e-11,-1.0913936421275139e-11,-1.4551915228366852e-11
1.852884572118782e-22,4.357527552284885e-17,-1.9387045606711586e-26,1.7315623315438087e-10,4.1406319909960884e-17,9.808097764327185e-12,7.436813205373082e-12,9.808097764327114e-12
1.6543612251060553e-24,4.3575850072657534e-17,4.8467614016778965e-27,4.3575269453793374e-17,4.1406865965083546e-17,9.808227084555172e-12,7.43691126010318e-12,9.808227084555193e-12
-2.117582368135751e-22,2.0271961168316472e-16,1.8611563782443123e-24,2.027169090619813e-16,1.9262926173521027e-16,3.1167412546688048e-09,1.12720765545763e-16,1.4866264183379775e-16
-7.411538288475128e-22,8.444514815631745e-17,4.1359030627651384e-25,8.444402300158687e-17,8.024189914185379e-17,6.192710449873996e-17,1.8337388856061834e-09,6.192710542931815e-17
-1.6543612251060553e-24,2.3558329901169775e-12,-1.0097419586828951e-28,2.3558016006046442e-12,2.2385716096824806e-12,1.7276293569863697e-12,1.3099437959066628e-12,1.7276293569863703e-12
-7.450580596923828e-09,-8.539373385631802e-12,0.0,7.639755494892597e-11,-96799.106545802,7.639755494892597e-11,-4.001776687800884e-11,-4.001776687800884e-11
0.0,8.53699209073723e-25,-1.8367099231598242e-40,8.53687834242839e-25,8.112064058267276e-25,6.260527897432049e-25,4.746932347021e-25,6.260527897432046e-25
