Intercept,input1,input2,input3,input4,input5,input6,input7
-2.710505431213761e-20,5.2222482405319566e-11,2.3161057151484775e-23,1.883800298634294e-08,4.480923205302566e-11,1.2762310215863215e-08,1.1521235007956147e-08,1.2762310215863217e-08
-1.0408340855860843e-17,5.409228703640329e-11,5.082197683525802e-21,5.402147590967517e-11,4.641360828822934e-11,4.892538235302346e-11,4.41676168570582e-11,9.116818594926877e-06
-3.814697265625e-06,8.107426681748065e-10,2.3283064365386963e-09,4.918547347187996e-09,-8659341.422724195,-3.92901711165905e-10,-4.69299266114831e-09,7.2177499532699585e-09
-7.411538288475128e-22,1.5179603267465162e-12,7.754818242684634e-25,5.475676346915831e-10,1.3024780400241602e-12,3.7096437574443156e-10,3.348898185548662e-10,3.7096437574443146e-10
-6.352747104407253e-22,1.5175927142335916e-12,4.1359030627651384e-25,1.515606063981459e-12,1.302162612000864e-12,3.708745373316595e-10,3.3480871650917244e-10,3.7087453733165994e-10
2.710505431213761e-20,5.409228703455832e-11,4.963083675318166e-24,5.402147590403876e-11,4.6413608284631104e-11,1.053427724213898e-07,4.41676168650072e-11,4.8925382351462156e-11
-8.809142651444724e-20,2.6827606744558644e-11,5.955700410381799e-23,2.679248726149843e-11,2.3019289790076895e-11,2.426502907369063e-11,7.377961112408294e-08,2.4265029073765282e-11
-2.481541837659083e-24,2.353160114687366e-12,1.8175355256292112e-27,2.350079639872467e-12,2.019116916322452e-12,2.128385850498757e-12,1.921410242851262e-12,2.128385850498757e-12
-2.682209014892578e-07,2.3572687488427523e-11,1.127773430198431e-10,1.3642420526593924e-10,-275707.725815183,4.638422979041934e-11,-1.3596945791505277e-10,2.0554580260068178e-10
-1.5777218104420236e-30,3.774177525377374e-18,5.633345087332665e-33,3.769236825107418e-18,3.2384135865339945e-18,3.4136674305100774e-18,3.0817041774322965e-18,3.4136674305100786e-18
