Intercept,input1,input2,input3,input4,input5,input6,input7
8.470329472543003e-22,5.201341012563717e-13,-4.1359030627651384e-25,2.3021969999456683e-09,4.72963653357645e-13,1.0291199252279208e-09,8.67750111432375e-10,1.0291199252279203e-09
1.0842021724855044e-19,5.813588030128915e-13,-2.6469779601696886e-23,5.812584548074257e-13,5.286359472380372e-13,4.892084126324034e-13,4.124987224162066e-13,1.5738729553144876e-06
5.960464477539062e-07,-5.157464583104997e-11,0.0,3.637978807091713e-12,-1142981.411045587,-2.801243681460619e-10,-3.128661774098873e-10,4.504272510530427e-10
3.705769144237564e-22,7.449261596726304e-14,-7.270142102516845e-27,3.2971627236824e-10,6.773695420262063e-14,1.4738859688117026e-10,1.2427751929802698e-10,1.4738859688117042e-10
5.293955920339377e-23,7.447627847325972e-14,-1.9387045606711586e-26,7.446342322378476e-14,6.772209833983522e-14,1.4735627206257494e-10,1.2425026313064487e-10,1.473562720625749e-10
3.3881317890172014e-21,5.813588028766661e-13,8.271806125530277e-25,5.812584553113338e-13,5.286359472552788e-13,1.8177880182621978e-08,4.1249872235189333e-13,4.892084123222882e-13
2.541098841762901e-21,2.693083340433937e-13,-1.4475660719677984e-24,2.692618490974311e-13,2.4488502723119907e-13,2.26620637500055e-13,1.189328661455255e-08,2.2662063749788687e-13
0.0,2.3556089790274395e-12,-1.0097419586828951e-28,2.355202380559268e-12,2.1419811273936143e-12,1.982224614120941e-12,1.671404456974726e-12,1.9822246141209422e-12
1.341104507446289e-07,9.548073488891782e-12,2.000888343900442e-11,-9.549694368615746e-12,-176324.7899778661,-4.547473508864641e-11,-1.2846612662542611e-11,9.57811607804615e-12
-2.465190328815662e-32,5.264845660721667e-20,-9.027796614315168e-36,5.263936902859106e-20,4.787382007926447e-20,4.4303221592146694e-20,3.735631244811848e-20,4.4303221592146706e-20
