Intercept,input1,input2,input3,input4,input5,input6,input7
8.673617379884035e-18,1.0794505965904086e-06,-8.470329472543003e-22,1.6757295755216167e-05,9.910927460130997e-13,2.748884646160719e-06,1.3738255022341054e-06,2.748884646160714e-06
-6.938893903907228e-18,2.6114169478072477e-06,-1.3552527156068805e-20,3.116769673296507e-11,2.3976608400042184e-12,3.5083556281917925e-10,1.7533905759064237e-10,0.00010944401476575335
2.0816681711721685e-17,3.771108248620219e-07,8.893845946170154e-21,4.765353307378844e-06,8.783188493677155e-05,7.81722918833098e-07,3.906860490030885e-07,7.817229188331191e-07
-2.117582368135751e-22,4.4022807193114037e-11,2.0679515313825692e-25,6.834061720286304e-10,4.0419344108598314e-17,1.1210667644844826e-10,5.602818266335516e-11,1.1210667644844807e-10
-1.4693679385278594e-39,9.470143588412772e-28,0.0,1.1302774283552105e-32,8.694970075899552e-34,2.4116279512329627e-27,1.20527283163075e-27,2.4116279512329616e-27
0.0,2.6114169478072726e-06,-1.2705494208814505e-21,3.11676967150715e-11,2.3976608164287438e-12,1.2490400196576831e-05,1.7533905760292435e-10,3.5083556283379057e-10
1.734723475976807e-17,7.17014809483615e-07,3.3881317890172014e-21,8.557691312310531e-12,6.583239412337962e-13,9.632865959728965e-11,2.8917546689839944e-05,9.632865960448943e-11
2.481541837659083e-24,9.196427150326048e-12,4.718374289353177e-28,1.0976089149418762e-16,8.443658546277422e-18,1.2355107437210272e-15,6.174781362245086e-16,1.2355107437180786e-15
4.235164736271502e-22,5.213220784168951e-12,6.462348535570529e-27,6.587675894751982e-11,1.2141974663088743e-09,1.0806622083608645e-11,5.400886149298218e-12,1.0806622083609417e-11
1.6543612251060553e-24,9.12801740069113e-12,1.0288718356345046e-27,1.0894440972389789e-16,8.380848439058111e-18,1.2263201113952383e-15,6.128848823427652e-16,1.2263201113910566e-15
