Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,2.4711483249186612e-09,-1.6543612251060553e-24,7.548440235779255e-09,1.108422020821057e-22,7.417430659490184e-09,7.310409506029957e-09,7.4174306594901905e-09
1.6940658945086007e-21,4.514554572812406e-10,0.0,7.594758794155624e-21,1.7784383169890095e-23,3.054529847974565e-20,3.010647916478627e-20,1.600769280191849e-08
-4.235164736271502e-22,2.5226609225608467e-10,2.0679515313825692e-25,7.650424031387762e-10,7.65570713581447e-10,7.51764443991321e-10,7.409177368740258e-10,7.517644439913216e-10
6.776263578034403e-21,4.1207650896722585e-09,-3.308722450212111e-24,1.2587406709429468e-08,1.9356026333740848e-22,1.2368941600337918e-08,1.2190478402241586e-08,1.2368941600337921e-08
2.938735877055719e-39,4.812812991249942e-27,-5.739718509874451e-42,8.104339042979978e-38,2.260014163263065e-40,1.4446201500618142e-26,1.4237766906661133e-26,1.4446201500618153e-26
1.2705494208814505e-21,4.514554572812375e-10,-2.0679515313825692e-25,7.602668708763162e-21,2.1248201984955898e-23,1.8268474032667895e-09,3.0102420809905933e-20,3.0543747516097116e-20
2.541098841762901e-21,2.444443292747328e-10,8.271806125530277e-25,4.115637137757589e-21,1.1166938269465874e-23,1.6537408396466406e-20,8.340882282962606e-09,1.6539683143150927e-20
-6.617444900424222e-24,8.494291425383633e-12,1.822751627680166e-27,1.4305067114429526e-22,4.0360552992868324e-25,5.746924635007207e-22,5.664032156629002e-22,5.746931362699232e-22
4.235164736271502e-22,4.1377540075192173e-10,-4.1359030627651384e-25,1.254848497948799e-09,1.255715050655832e-09,1.2330695390000517e-09,1.2152784020931465e-09,1.2330695390000507e-09
-3.308722450212111e-24,8.494047417940315e-12,7.951757756018778e-28,1.430436274290844e-22,4.0394406223483346e-25,5.746757159323646e-22,5.6638678082649e-22,5.746766715103721e-22
