Intercept,input1,input2,input3,input4,input5,input6,input7
-3.1763735522036263e-22,7.474044205886808e-16,2.5849394142282115e-26,3.1560761078754487e-10,5.15603873325287e-17,2.133601034284007e-10,1.9250143388238882e-10,2.133601034284006e-10
-9.486769009248164e-20,2.6525155633724892e-15,0.0,2.5541198596736757e-15,1.8298631099674717e-16,2.336630643640707e-15,2.1081951602393908e-15,1.1848229638467422e-07
1.0587911840678754e-22,1.190241397071751e-16,2.5849394142282115e-25,2.9999304762665894e-11,7.53503566428551e-10,2.0280430605966263e-11,1.8297760024806168e-11,2.028043060596607e-11
-5.293955920339377e-22,1.1875980548533898e-15,2.5849394142282115e-25,5.014888517415491e-10,8.192755344963803e-17,3.390213341458157e-10,3.0587767764975156e-10,3.3902133414581606e-10
2.938735877055719e-39,3.481501438669666e-32,-1.4349296274686127e-42,3.3523542441319796e-32,2.4017460609132053e-33,9.938575243651325e-27,8.966952838926244e-27,9.93857524365133e-27
-1.6940658945086007e-21,2.652515582282293e-15,-1.6543612251060553e-24,2.5541198296366797e-15,1.829862468902497e-16,1.3521568116904339e-08,2.1081952032527826e-15,2.336630634334925e-15
1.0164395367051604e-20,1.3147874296885002e-15,0.0,1.266015080427255e-15,9.070182820229105e-17,1.1582109615677997e-15,5.6515719145159425e-08,1.1582109508144517e-15
-1.9852334701272664e-23,1.0912701060143326e-11,4.8467614016778965e-27,1.0507891595293764e-11,7.528228048973261e-13,9.613120370006736e-12,8.673315327348923e-12,9.613120370006742e-12
1.0587911840678754e-22,1.8618276044701989e-16,0.0,4.692622341150944e-11,1.1786632050086633e-09,3.172353576278693e-11,2.8622155801517913e-11,3.172353576278693e-11
0.0,2.2852316416568712e-23,2.938735877055719e-39,2.2004603835771422e-23,1.5764882450556719e-24,2.0130861024710504e-23,1.816281277649603e-23,2.0130861024710525e-23
