Intercept,input1,input2,input3,input4,input5,input6,input7
-1.0164395367051604e-20,1.1176186864593143e-11,3.308722450212111e-24,1.4195174149054317e-08,1.0567119351299205e-12,1.3090575338146618e-08,1.2774962424518889e-08,1.3090575338146635e-08
-6.505213034913027e-19,1.318416883528965e-11,2.117582368135751e-22,1.2833287073194925e-11,1.2465672515658493e-12,1.252539170026075e-11,1.2223405327210683e-11,2.701456421099484e-06
1.0164395367051604e-20,1.8016425452529864e-12,4.7976475528075605e-23,1.1932818735103383e-09,4.1795165356636977e-08,1.1004717353424751e-09,1.0739394339130024e-09,1.1004717353425318e-09
1.0587911840678754e-22,2.829449822840904e-13,1.0339757656912846e-25,3.5937599708978977e-10,2.675253585044223e-14,3.3141112009103957e-10,3.2342081970173867e-10,3.3141112009103973e-10
-2.938735877055719e-39,1.1583592771913892e-29,6.457183323608757e-42,1.127530853462707e-29,1.0952322900558188e-30,1.3567766511457262e-26,1.3240648549909517e-26,1.3567766511457276e-26
5.421010862427522e-20,1.318416883447259e-11,6.352747104407253e-22,1.2833287073221395e-11,1.246567254174777e-12,3.083096564610884e-07,1.222340532455378e-11,1.2525391699258206e-11
-1.0842021724855044e-19,7.068552729363219e-12,-1.0587911840678754e-21,6.880431182726759e-12,6.683338519029698e-13,6.715356333532443e-12,1.3937790478660597e-06,6.715356331712646e-12
0.0,1.090933383599685e-11,0.0,1.0618994238675249e-11,1.031480898479235e-12,1.0364224031233431e-11,1.0114343268968081e-11,1.0364224031233433e-11
-4.235164736271502e-22,4.959728122899171e-14,1.137373342260413e-24,3.284976635451974e-11,1.1505759428617853e-09,3.0294803087394514e-11,2.956439737005848e-11,3.029480308739645e-11
0.0,2.5142197481802837e-19,-4.81482486096809e-35,2.4473066295390675e-19,2.377202571498962e-20,2.388591010746228e-19,2.3310022379923083e-19,2.388591010746227e-19
