Intercept,input1,input2,input3,input4,input5,input6,input7
8.470329472543003e-22,5.961395030153453e-11,-1.2407709188295415e-24,1.181863277934808e-09,1.0151556861658488e-12,1.1235864277920377e-09,1.1063346579624398e-09,1.123586427792037e-09
6.776263578034403e-21,2.3844764025833224e-11,-1.6543612251060553e-24,2.040900365288307e-11,4.0604837733321735e-13,2.0155480090306396e-11,1.9846008834055218e-11,1.7071080980668502e-08
0.0,6.845919133267514e-12,-2.0679515313825692e-25,1.1869825610734872e-10,7.704539187226568e-10,1.1287366259552811e-10,1.1114057789571706e-10,1.1287366259552814e-10
1.2705494208814505e-21,9.726588102000135e-11,-4.1359030627651384e-25,1.9283233604225134e-09,1.6563239256566722e-12,1.8332390866319652e-09,1.8050911685164485e-09,1.833239086631965e-09
-8.816207631167156e-39,7.750050077157938e-28,2.8698592549372254e-42,6.633355656752892e-28,1.319742671656766e-29,1.4607069381173143e-26,1.4382789528181186e-26,1.4607069381173137e-26
8.470329472543003e-22,2.3844764025838446e-11,-5.169878828456423e-25,2.0409003652881977e-11,4.060483773284869e-13,1.9660598248958452e-09,1.9846008834055812e-11,2.0155480090313065e-11
-2.541098841762901e-21,1.2898817887434125e-11,-2.0679515313825692e-25,1.1040244352898843e-11,2.1965174689928235e-13,1.0903100858413907e-11,8.886852938066921e-09,1.0903100858411323e-11
3.308722450212111e-24,1.0477149606239066e-11,-3.2311742677852644e-27,8.967511037383833e-12,1.7841357507397015e-13,8.85611533261367e-12,8.720136773667506e-12,8.856115332613656e-12
-4.235164736271502e-22,1.0990899766170122e-11,-6.203854594147708e-25,1.9056617671035752e-10,1.2369386243527076e-09,1.8121498190058895e-10,1.7843257097064655e-10,1.8121498190058877e-10
1.5777218104420236e-30,1.6427769324383844e-18,-9.62964972193618e-34,1.4060713865179692e-18,2.7974565275925655e-20,1.388604966637875e-18,1.367284049371415e-18,1.3886049666378736e-18
