Intercept,input1,input2,input3,input4,input5,input6,input7
-1.6940658945086007e-21,1.0519523774627917e-09,4.1359030627651384e-25,7.854728395828117e-09,5.407604975653248e-18,3.894886538489669e-09,2.433363263195409e-09,3.894886538489673e-09
3.3881317890172014e-21,1.9168367060461727e-10,2.274746684520826e-24,3.7456998583200774e-16,9.853542799246994e-19,6.134782590911299e-16,3.8327572563360693e-16,9.609849370199776e-09
2.117582368135751e-22,1.0502323790140868e-10,-2.0679515313825692e-25,7.7939102078648e-10,7.799524107268085e-10,3.8647289293353236e-10,2.4145220421491e-10,3.8647289293353283e-10
6.776263578034403e-21,1.6857309839251103e-09,-6.203854594147708e-25,1.25870327505697e-08,8.665568027182145e-18,6.2414716269198064e-09,3.899412117692282e-09,6.241471626919811e-09
2.938735877055719e-39,1.9688943594501977e-27,2.152394441202919e-42,3.8474259806193974e-33,1.0121179090233802e-35,7.289892870271169e-27,4.554422144996991e-27,7.289892870271174e-27
-2.117582368135751e-22,1.916836706046164e-10,-1.9387045606711586e-25,3.7456998676258593e-16,9.853575074638962e-19,1.0967062701884673e-09,3.8327572478057693e-16,6.134782598278376e-16
6.352747104407253e-22,6.579215362940903e-11,-1.2407709188295415e-24,1.2856476446135058e-16,3.382077537791652e-19,2.1056595850512646e-16,3.1741229650679927e-09,2.1056595894456616e-16
2.0679515313825692e-24,5.854288151309201e-12,-1.3041319062621504e-28,1.1439892757115532e-17,3.009419432873559e-20,1.873648650067396e-17,1.1705778196552022e-17,1.8736486501838653e-17
-4.235164736271502e-22,1.6565450962514506e-10,-4.782137916322191e-25,1.2293435237240372e-09,1.230229011327848e-09,6.095886857193988e-10,3.808456803120026e-10,6.095886857193994e-10
0.0,1.679843618255863e-12,-6.241168577781277e-29,3.28259052928938e-18,8.63530131472726e-21,5.376292806956511e-18,3.3588843419338717e-18,5.376292807257324e-18
