Intercept,input1,input2,input3,input4,input5,input6,input7
6.938893903907228e-18,3.569425261899319e-08,2.964615315390051e-21,1.5248737724847179e-05,3.171943951508534e-10,9.125395703950578e-07,6.752456889306782e-07,9.125395703950601e-07
2.7755575615628914e-17,3.178543334204588e-08,-1.0164395367051604e-20,2.860703257988312e-09,2.8245895525021663e-10,2.077034431974125e-08,1.5369290181530678e-08,3.844680228553951e-05
-6.245004513516506e-17,1.5013817772244503e-08,4.404571325722362e-20,4.2691945735066225e-06,8.530476354288938e-05,2.5873833664194075e-07,1.914568442253162e-07,2.5873833664194753e-07
2.117582368135751e-22,1.4754613405004066e-12,7.754818242684634e-26,6.303234093341849e-10,1.3111580524256889e-14,3.7720830638099986e-11,2.7912026061767816e-11,3.7720830638099947e-11
7.346839692639297e-40,3.442019260000774e-29,-9.865141188846712e-43,3.0978327730471596e-30,3.0587255290950735e-31,8.799676548322064e-28,6.511436704784638e-28,8.799676548322062e-28
0.0,3.1785433342053456e-08,-1.6940658945086007e-21,2.8607032580207374e-09,2.8245895526419267e-10,4.406067934501586e-06,1.5369290181514902e-08,2.077034431974686e-08
3.469446951953614e-18,1.2921564512579677e-08,-7.623296525288703e-21,1.1629466020542217e-09,1.1482654879640738e-10,8.443658489341703e-09,1.5038730048508787e-05,8.443658489345303e-09
3.308722450212111e-24,1.0850105968789632e-11,-3.6350710512584224e-27,9.76514403964901e-13,9.64186822129025e-14,7.090053939247961e-12,5.246378910111784e-12,7.090053939247964e-12
-7.411538288475128e-22,2.1152337526178542e-13,3.101927297073854e-25,6.01468899873236e-11,1.2018229996002429e-09,3.645255797447711e-12,2.697355097938578e-12,3.645255797447311e-12
6.462348535570529e-27,2.1025311091636044e-14,-1.5777218104420236e-30,1.8922874290707e-15,1.8683990685465943e-16,1.3739090674134445e-14,1.016642132408627e-14,1.3739090674134428e-14
