Intercept,input1,input2,input3,input4,input5,input6,input7
-6.776263578034403e-21,4.606202173420858e-16,2.6469779601696886e-23,2.3889468059887125e-08,5.246735694686328e-17,1.2149079987835506e-08,1.0425460265988906e-08,1.2149079987835504e-08
5.204170427930421e-18,2.1830208792641694e-15,-1.6940658945086007e-21,2.1352582516790536e-15,2.486596506771823e-16,1.8518492860990004e-15,1.5891261356403182e-15,1.807786074374062e-05
3.3881317890172014e-20,9.014186236009768e-17,-1.3234889800848443e-23,2.106060648132429e-09,9.087731578571228e-08,1.071045182942178e-09,9.190933806529534e-10,1.0710451829422202e-09
1.5881867761018131e-22,5.628438852332944e-18,3.618915179919496e-25,2.9191165945244203e-10,6.41112498839727e-19,1.4845278644041395e-10,1.273914261787334e-10,1.48452786440414e-10
1.4693679385278594e-39,2.8346139426859785e-34,6.636549527042334e-42,2.772583286771689e-34,3.2287922111564376e-35,7.476430734257957e-27,6.4157312018250565e-27,7.476430734257961e-27
-8.673617379884035e-19,2.1830281926518836e-15,1.0587911840678754e-21,2.1352553929428566e-15,2.4865908157692087e-16,2.0631013719937727e-06,1.5891224828107331e-15,1.851849511092127e-15
-4.336808689942018e-18,1.0291760092585144e-15,5.082197683525802e-21,1.0066512239666897e-15,1.1723041869117923e-16,8.730350587899944e-16,8.201511966673259e-06,8.730423644491645e-16
-6.617444900424222e-24,1.0912716182859501e-11,4.8467614016778965e-27,1.0673910197476665e-11,1.2430227536549388e-12,9.257193163396194e-12,7.943852505391705e-12,9.257193163396187e-12
7.411538288475128e-22,1.1195946991670735e-18,-1.550963648536927e-25,2.6158042741867153e-11,1.1287294659329066e-09,1.3302772500267835e-11,1.1415475597156214e-11,1.3302772500268255e-11
0.0,7.630614924690267e-23,5.289724578700294e-38,7.463632068576976e-23,8.691720573350014e-24,6.47300590702636e-23,5.554664711466595e-23,6.47300590702636e-23
