Intercept,input1,input2,input3,input4,input5,input6,input7
3.3881317890172014e-21,1.2647403155151253e-10,-2.481541837659083e-24,2.514325457697735e-09,9.922611747568916e-13,2.3356176540746995e-09,2.2823061744121262e-09,2.3356176540746995e-09
2.202285662861181e-20,5.848085768886889e-11,-1.6543612251060553e-23,4.2271099963119365e-11,4.588158046196864e-13,4.203973821674343e-11,4.108016307179364e-11,2.55836133586604e-08
1.0587911840678754e-22,1.3419765386666762e-11,0.0,2.5241231183364664e-10,8.69576824390744e-10,2.3450747498740537e-10,2.291547407923618e-10,2.345074749874051e-10
4.235164736271502e-21,1.8354260926566683e-10,-4.1359030627651384e-24,3.648858579011738e-09,1.4399968345590326e-12,3.3895128764138972e-09,3.3121457840468213e-09,3.3895128764138964e-09
1.7632415262334313e-38,7.674002028676726e-28,-8.609577764811676e-42,5.546917738402627e-28,6.0206938726143855e-30,1.4171711295755177e-26,1.3848235877075467e-26,1.4171711295755171e-26
1.0587911840678754e-21,5.848085768886438e-11,-1.2407709188295415e-24,4.22710999631174e-11,4.588158046314738e-13,2.9569231021436062e-09,4.1080163071794675e-11,4.203973821674653e-11
8.470329472543003e-22,3.1395162732983587e-11,3.7223127564886245e-24,2.2693033493200793e-11,2.463130230946857e-13,2.256882807001249e-11,1.3217219341384254e-08,2.256882807001187e-11
9.926167350636332e-24,1.0521506662177283e-11,-9.693522803355793e-27,7.605149401975855e-12,8.254724256647914e-14,7.563524257407077e-12,7.390883556167862e-12,7.563524257407077e-12
1.2705494208814505e-21,1.920401264050631e-11,-3.101927297073854e-25,3.6120819458504687e-10,1.2443857136342323e-09,3.355859349393561e-10,3.279260413286216e-10,3.3558593493935537e-10
3.944304526105059e-30,3.3354451804547566e-18,-3.0814879110195774e-33,2.4109245694484487e-18,2.6168476741830075e-20,2.3977288939339578e-18,2.3429996984501307e-18,2.3977288939339574e-18
