Intercept,input1,input2,input3,input4,input5,input6,input7
4.336808689942018e-19,2.9512163240114827e-12,-2.514629062161204e-22,3.866116459851177e-06,2.356730525110478e-13,4.039601196134053e-07,3.100913398891663e-07,4.0396011961340404e-07
-1.0408340855860843e-17,7.37546988018441e-13,1.1011428314305904e-20,5.552106352050302e-13,5.889772363261913e-14,5.318383609384362e-13,4.0825432142836465e-13,3.310033284154072e-05
-1.734723475976807e-18,1.10501828441112e-12,-1.6940658945086007e-21,7.591127822558759e-07,2.4062998576659103e-05,7.931799231076143e-08,6.088675915955608e-08,7.931799231076503e-08
-5.293955920339377e-23,3.033322005389461e-16,2.261821987449685e-26,3.9736755440714085e-10,2.422297033934714e-17,4.15198679283899e-11,3.1871837968206295e-11,4.151986792838972e-11
-2.204051907791789e-39,1.1222348620901147e-32,-1.3452465257518244e-43,8.447959667533363e-33,8.961746195735566e-34,1.5361060637355892e-27,1.1791589426488401e-27,1.5361060637355888e-27
1.3010426069826053e-18,7.375469973894469e-13,-1.4823076576950256e-21,5.552106340403599e-13,5.889773369113538e-14,3.7775128113783957e-06,4.0825432545177115e-13,5.318383499799475e-13
-8.673617379884035e-18,3.110410388578465e-13,1.6940658945086007e-21,2.3414547605760694e-13,2.4838570328138132e-14,2.2428882718911105e-13,1.3433171060737412e-05,2.2428883248306697e-13
0.0,1.091270872468943e-11,2.0194839173657902e-28,8.214868944996718e-12,8.714479406645153e-13,7.86905378713471e-12,6.040510718849551e-12,7.86905378713471e-12
-3.1763735522036263e-22,5.310743791436192e-17,-5.169878828456423e-26,3.648313849209005e-11,1.1564733595953326e-09,3.8120413277569986e-12,2.926231936381183e-12,3.8120413277571924e-12
-5.9164567891575885e-31,6.729759241909666e-19,2.6481536735324493e-34,5.066028206048522e-19,5.374133022777143e-20,4.852767427874442e-19,3.7251230525434094e-19,4.85276742787444e-19
