Intercept,input1,input2,input3,input4,input5,input6,input7
3.3881317890172014e-21,2.35855359129065e-09,-7.444625512977249e-24,7.924697186022144e-09,1.20035684485801e-16,7.764784266679591e-09,7.627503758468095e-09,7.764784266679584e-09
5.082197683525802e-21,4.833260570642497e-10,-9.926167350636332e-24,7.922439160330844e-15,2.4598288842469642e-17,3.083307603098606e-14,3.028795072444734e-14,1.9680129310499855e-08
0.0,2.391307210823657e-10,1.0339757656912846e-25,8.005001372545794e-10,8.010896945737145e-10,7.843468413015698e-10,7.704796777990352e-10,7.843468413015686e-10
1.3552527156068805e-20,3.746100344916764e-09,-8.271806125530277e-24,1.2586829051305661e-08,1.9065316809386383e-16,1.2332838705477656e-08,1.2114795511097682e-08,1.2332838705477661e-08
2.938735877055719e-39,4.37544858944439e-27,0.0,7.17201663884032e-32,2.2268306802264192e-34,1.4404766757236e-26,1.4150092109082937e-26,1.4404766757236014e-26
4.235164736271502e-22,4.83326057064258e-10,1.550963648536927e-25,7.922439157532647e-15,2.459828351749445e-17,2.2459845282065987e-09,3.02879507251065e-14,3.083307602622977e-14
6.776263578034403e-21,2.608375395776093e-10,1.6543612251060553e-24,4.275518573645433e-15,1.3275008060557265e-17,1.6639747781660808e-14,1.0220591683628463e-08,1.663974778496953e-14
2.481541837659083e-24,7.340677454189855e-12,-7.873817910237224e-28,1.20324715906668e-16,3.73594724155322e-19,4.682877380864122e-16,4.600084638071707e-16,4.682877380882293e-16
-2.541098841762901e-21,3.73906333559194e-10,4.1359030627651384e-25,1.251667163381305e-09,1.252588998997502e-09,1.2264097659321244e-09,1.204726979886778e-09,1.2264097659321223e-09
1.0339757656912846e-25,2.6274823183604323e-13,3.979741637081784e-29,4.306837692802542e-18,1.337224713784848e-20,1.6761637592767902e-17,1.6465293734649028e-17,1.6761637592887e-17
