Intercept,input1,input2,input3,input4,input5,input6,input7
8.470329472543003e-22,2.0696713413887613e-14,5.169878828456423e-25,2.2091321168506485e-09,2.002329265555466e-15,1.8617281688369388e-09,1.7702255158574738e-09,1.8617281688369368e-09
-5.421010862427522e-20,3.2861503147803963e-14,1.3234889800848443e-22,3.20335481149247e-14,3.1792272624512077e-15,3.060086424309531e-14,2.909685300229015e-14,5.652049184514258e-07
-5.929230630780102e-21,3.4439933086398373e-15,3.308722450212111e-24,1.8781719955024703e-10,6.768528889368411e-09,1.582816059405662e-10,1.5050217438667568e-10,1.5828160594056356e-10
2.117582368135751e-22,3.274560842514066e-15,2.0679515313825692e-25,3.495210752143811e-10,3.1680145904513483e-16,2.945560504803346e-10,2.8007882414769467e-10,2.9455605048033416e-10
-5.877471754111438e-39,1.3773396720285468e-31,-2.152394441202919e-42,1.3426372106010538e-31,1.332524386367052e-32,1.2389561638980314e-26,1.178062324604214e-26,1.2389561638980293e-26
4.0657581468206416e-20,3.2861503148974885e-14,-1.6543612251060553e-23,3.203354832254703e-14,3.1792269580487422e-15,6.450296018884674e-08,2.909685288317614e-14,3.06008642009091e-14
-8.131516293641283e-20,1.7166296134716054e-14,1.9852334701272664e-23,1.6733786493573868e-14,1.66077461447553e-15,1.5985376507352864e-14,2.841275188627168e-07,1.5985376480883085e-14
3.308722450212111e-24,1.0912671408368383e-11,4.4428646182047385e-27,1.0637723575321586e-11,1.0557599597074955e-12,1.0161956809720903e-11,9.662503654788466e-12,1.0161956809720888e-11
-7.411538288475128e-22,5.841167447364843e-16,1.0339757656912846e-24,3.1854641213152484e-11,1.1479729216918874e-09,2.6845271785289505e-11,2.5525845228057456e-11,2.684527178528858e-11
5.7777898331617076e-34,6.8911868245505415e-22,3.0562853121379475e-37,6.717561429482023e-22,6.666964349943787e-23,6.417121918020864e-22,6.101724810204422e-22,6.417121918020858e-22
