Intercept,input1,input2,input3,input4,input5,input6,input7
-2.117582368135751e-22,2.397957573571949e-12,2.5849394142282115e-26,4.044377449009909e-10,1.9906384287310632e-13,3.400166327960781e-10,3.230211507705549e-10,3.400166327960778e-10
2.710505431213761e-20,2.3942351483694313e-12,-8.271806125530277e-25,2.3253724260848813e-12,1.987548297746005e-13,2.220693981398847e-12,2.1096942213692976e-12,5.753340918768431e-08
-7.411538288475128e-22,4.139458677482427e-13,2.0679515313825692e-25,3.767434790586955e-11,1.1898703030475963e-09,3.169463910383466e-11,3.01104058127599e-11,3.169463910383406e-11
-1.0587911840678754e-22,2.353061267397705e-12,7.754818242684634e-26,3.9686556721797163e-10,1.953368247904895e-13,3.336505940393735e-10,3.1697331379231535e-10,3.3365059403937323e-10
-8.816207631167156e-39,8.767087837754569e-29,7.174648137343063e-42,8.514929842492796e-29,7.277902724490569e-30,1.2431227803503556e-26,1.1809861998683253e-26,1.2431227803503549e-26
-2.541098841762901e-21,2.3942351483805316e-12,1.7577588016751838e-24,2.325372426074928e-12,1.987548297954351e-13,6.567857828923217e-09,2.1096942213840317e-12,2.2206939814121334e-12
-6.776263578034403e-21,1.2496098766097358e-12,4.963083675318166e-24,1.2136687377309774e-12,1.0373500635235539e-13,1.1590344974968423e-12,2.8896532579762597e-08,1.1590344974887256e-12
-3.308722450212111e-24,1.0590587868719192e-11,1.6155871338926322e-27,1.0285982570467941e-11,8.791661465016282e-13,9.822951081287083e-12,9.331958075542773e-12,9.822951081287078e-12
-1.0587911840678754e-22,4.040453408573332e-13,2.5849394142282115e-26,3.6773273819624526e-11,1.1614116473397976e-09,3.0936584364819134e-11,2.939024188392415e-11,3.093658436481862e-11
-4.930380657631324e-32,1.0537175949227465e-19,6.018531076210112e-35,1.023410687860292e-19,8.747322140307591e-21,9.773410613956239e-20,9.284893852138977e-20,9.773410613956225e-20
