Intercept,input1,input2,input3,input4,input5,input6,input7
-1.0587911840678754e-22,2.7550111357676005e-12,-2.5849394142282115e-25,3.982809883976508e-10,2.501241409569216e-13,3.2716883087540207e-10,3.0887229077856737e-10,3.2716883087540186e-10
-6.776263578034403e-21,2.887273866912976e-12,4.963083675318166e-24,2.8125634872095625e-12,2.6213211491935327e-13,2.6707775739968394e-12,2.5214174138477584e-12,6.477519796863528e-08
-3.1763735522036263e-22,4.944966268980697e-13,2.003328046026864e-25,3.678464730638442e-11,1.2774278458491727e-09,3.024699899874291e-11,2.8555470412389542e-11,3.0246998998742186e-11
5.293955920339377e-22,2.4930265478195676e-12,-3.618915179919496e-25,3.604069198401122e-10,2.2633887593412357e-13,2.9605709044230575e-10,2.795004386006977e-10,2.9605709044230596e-10
8.816207631167156e-39,1.023829106604877e-28,-9.327042578545982e-42,9.973367595608035e-29,9.295221077387796e-30,1.2158389034271535e-26,1.1478445129214189e-26,1.215838903427153e-26
-4.235164736271502e-22,2.8872738669067105e-12,-2.9856050234335843e-24,2.812563487207947e-12,2.621321149295239e-13,7.394711877093571e-09,2.521417413841409e-12,2.670777573978987e-12
1.6940658945086007e-20,1.4975173274457949e-12,-2.0265925007549178e-23,1.458767941928535e-12,1.3595779350001162e-13,1.3852290704444264e-12,3.233035525740466e-08,1.3852290704466171e-12
6.617444900424222e-24,1.0589785589233889e-11,-1.3732490638087374e-26,1.0315766934029035e-11,9.61433871913352e-13,9.795732295842553e-12,9.247917248030132e-12,9.795732295842553e-12
-4.235164736271502e-22,4.460604966164563e-13,1.260157964436253e-25,3.318157729057219e-11,1.1523033086908722e-09,2.728429408946542e-11,2.5758451363291852e-11,2.7284294089464784e-11
1.9721522630525295e-31,1.648811164813882e-19,-2.6481536735324493e-34,1.6061469376430927e-19,1.496935786738306e-20,1.5251784505753699e-19,1.439884602132919e-19,1.5251784505753708e-19
