Intercept,input1,input2,input3,input4,input5,input6,input7
-1.5881867761018131e-22,2.0799655112604223e-14,4.52364397489937e-26,1.9111330498058577e-10,2.2633910548345006e-15,1.782778176258752e-10,1.7459987546181688e-10,1.7827781762587546e-10
1.6940658945086007e-21,1.332112152072374e-14,3.308722450212111e-24,1.3031622541589861e-14,1.4495868833032522e-15,1.2751858770717788e-14,1.2488782869914064e-14,2.303361088112785e-08
-2.6469779601696886e-22,4.060333003075354e-15,5.169878828456423e-26,1.7490050382936772e-11,7.176319241013435e-10,1.6315485937196448e-11,1.5978890984136323e-11,1.6315485937196926e-11
-1.0587911840678754e-22,3.3407075393938963e-14,9.693522803355793e-26,3.0695396407867247e-10,3.635313912636566e-15,2.863384254336249e-10,2.8043115002428296e-10,2.863384254336249e-10
1.4693679385278594e-38,1.6001800303416872e-30,1.0403239799147442e-41,1.5654043919130859e-30,1.741294818063686e-31,1.3715448745403815e-26,1.343249359197265e-26,1.3715448745403827e-26
2.541098841762901e-21,1.3321121526315171e-14,3.101927297073854e-25,1.3031622534752697e-14,1.449586886301782e-15,2.628678197305082e-09,1.2488782862960576e-14,1.2751858772320451e-14
-2.541098841762901e-21,7.167443203162549e-15,4.1359030627651384e-24,7.011677969154858e-15,7.799517236306283e-16,6.8611507842715175e-15,1.1926244013187271e-08,6.8611507918195405e-15
-6.617444900424222e-24,1.0911966108437976e-11,6.058451752097371e-27,1.0674823673949345e-11,1.187425769570052e-12,1.044565582998632e-11,1.0230157802694039e-11,1.0445655829986326e-11
-6.352747104407253e-22,6.418766925305071e-15,1.0339757656912846e-25,2.7649100906802657e-11,1.1344665709355745e-09,2.5792293740969802e-11,2.5260188480085718e-11,2.5792293740969905e-11
-7.703719777548943e-34,6.819846120185127e-22,6.3476694944403525e-37,6.671634982457337e-22,7.421266660045903e-23,6.52840786683114e-22,6.393724220389065e-22,6.528407866831146e-22
