Intercept,input1,input2,input3,input4,input5,input6,input7
6.617444900424221e-23,1.2648659638083303e-16,6.462348535570529e-27,1.0206721739902831e-10,2.1966317041552807e-17,3.122244286537514e-11,2.5298388051465203e-11,3.122244286537507e-11
8.131516293641283e-20,1.4451564389876424e-15,2.6469779601696886e-23,1.4290460754248037e-15,2.5097327154177067e-16,1.1553366082008514e-15,9.361262747790065e-16,2.5605133214127375e-07
3.1763735522036263e-22,3.288943437292655e-17,3.618915179919496e-25,8.67913605834855e-12,6.438788653421105e-10,2.6549656130441817e-12,2.151220217831591e-12,2.6549656130439103e-12
2.3822801641527197e-22,2.1040959273023648e-16,3.2311742677852644e-27,1.697881219288374e-10,3.654081894355141e-17,5.193832134580111e-11,4.2083696455568436e-11,5.1938321345800965e-11
-2.204051907791789e-39,1.821864853264969e-32,1.4349296274686127e-42,1.801555009093246e-32,3.163944809561746e-33,4.497161984492897e-27,3.64388364819999e-27,4.4971619844928946e-27
-1.5246593050577406e-20,1.445156540860467e-15,6.617444900424222e-24,1.4290461833718736e-15,2.50973373284986e-16,2.9221370836523458e-08,9.361262855323545e-16,1.155336442764729e-15
-5.421010862427522e-20,6.433061492078193e-16,-1.6543612251060553e-23,6.361347121324183e-16,1.1171987214488775e-16,5.142938250737285e-16,1.0968520466996999e-07,5.142938531978694e-16
1.3234889800848443e-23,1.0596580780943156e-11,-1.4136387421560532e-27,1.0478451874906223e-11,1.8402570700619987e-12,8.471480852101142e-12,6.864126900354795e-12,8.47148085210113e-12
4.235164736271502e-22,5.381733157991368e-17,9.305781891221561e-25,1.4201762702875052e-11,1.0535858400548056e-09,4.344348488980928e-12,3.5200645375159685e-12,4.344348488980566e-12
7.52316384526264e-36,4.202303677206411e-24,3.4208722318851726e-39,4.155457100326055e-24,7.297938091911871e-25,3.3595492614174925e-24,2.722118229499785e-24,3.359549261417488e-24
