Intercept,input1,input2,input3,input4,input5,input6,input7
-2.710505431213761e-20,8.638103979911878e-12,-2.812414082680294e-23,4.524969449504097e-08,1.5895110593916972e-12,3.629272869361106e-08,3.4044602547975574e-08,3.629272869361107e-08
-1.3010426069826053e-18,3.3003145487930303e-12,-5.293955920339377e-22,3.0101253141702396e-12,6.072960562708754e-13,2.876711019894174e-12,2.698515292354273e-12,2.469790749944699e-06
3.3881317890172014e-21,2.7778162058374518e-12,1.819797347616661e-23,4.6553251970114804e-09,4.491907618643015e-08,3.734090046807317e-09,3.5027846099729932e-09,3.734090046807327e-09
0.0,6.579185620939765e-14,-3.2957977531409696e-25,3.446429217174925e-10,1.2106462634104247e-14,2.7642246414364574e-10,2.592996797388535e-10,2.7642246414364605e-10
-2.938735877055719e-39,2.567690446070281e-30,-5.3809861030072976e-43,2.3419192006971997e-30,4.724847455687381e-31,1.0788072584585098e-26,1.0119813434297272e-26,1.0788072584585104e-26
1.3552527156068805e-20,3.3003145480586854e-12,-1.3234889800848443e-23,3.0101253133182435e-12,6.072960555197954e-13,1.264292222474642e-07,2.698515291328569e-12,2.87671102065518e-12
-4.0657581468206416e-20,1.7008296933252797e-12,2.6469779601696886e-23,1.55127956416037e-12,3.129723390328535e-13,1.4825239995315192e-12,1.5366126608327912e-07,1.4825239994504555e-12
-4.963083675318166e-24,5.505558895941821e-12,1.7165613297609217e-27,5.021467485943725e-12,1.0130865261068608e-12,4.7989068072808506e-12,4.50164208643291e-12,4.798906807280851e-12
5.293955920339377e-23,1.6681244455640904e-14,6.462348535570529e-26,2.7955995601376353e-11,2.697464609114468e-10,2.2423826586959495e-11,2.1034799290033868e-11,2.2423826586959534e-11
1.5777218104420236e-30,3.088693006803956e-18,-1.781485198558193e-33,2.8171111781512576e-18,5.683552437846139e-19,2.6922516271468605e-18,2.5254820980570288e-18,2.6922516271468655e-18
