Intercept,input1,input2,input3,input4,input5,input6,input7
-4.235164736271502e-22,7.287537312985293e-10,1.6802106192483375e-25,1.1287314516227192e-09,1.4412006586602615e-22,1.1020050442698764e-09,1.0757389604021036e-09,1.1020050442698758e-09
1.6940658945086007e-21,2.0094712515863417e-10,-1.550963648536927e-25,1.5658658242599525e-21,3.810200696572384e-23,3.5034175019523654e-20,3.4199743651913716e-20,9.132205474424775e-09
0.0,7.532564768093208e-11,1.2924697071141057e-26,1.150197619636206e-10,1.1503916143808197e-10,1.1229629305766689e-10,1.0961973194133663e-10,1.1229629305766678e-10
0.0,1.2163548523047615e-09,5.686866711302065e-25,1.88395327415192e-09,2.405673865851485e-22,1.8393445210545207e-09,1.7955040888324036e-09,1.8393445210545184e-09
-8.816207631167156e-39,4.806229933056777e-27,5.0222536961401444e-42,3.745955538988187e-38,8.849928477412669e-40,7.436945194766451e-27,7.259686998697859e-27,7.436945194766446e-27
5.293955920339377e-23,2.009471251586343e-10,2.0679515313825692e-25,1.565904598351166e-21,3.7320062792919803e-23,4.674698492991961e-10,3.4200286489190704e-20,3.503530593051738e-20
-5.293955920339377e-23,1.077660493172241e-10,-2.5849394142282115e-26,8.399760626534573e-22,1.9871721746879376e-23,1.8789097421412316e-20,5.912500174408411e-10,1.8789141850058498e-20
0.0,3.299823581814176e-12,2.4171912269292133e-29,2.5715101640069182e-23,6.106917865493813e-25,5.753284034561442e-22,5.61616320627301e-22,5.753274966445569e-22
0.0,1.2366756056886427e-10,6.462348535570529e-26,1.888362572002565e-10,1.8886810671973403e-10,1.8436494143658606e-10,1.7997063758178037e-10,1.8436494143658562e-10
-8.271806125530277e-25,3.2995279255660846e-12,1.1373967303158096e-28,2.571287063511314e-23,6.109787997543902e-25,5.752769432817849e-22,5.615653843843568e-22,5.752758557005392e-22
