Intercept,input1,input2,input3,input4,input5,input6,input7
-1.0587911840678754e-22,2.364323323116203e-16,5.169878828456423e-26,3.2911721157997275e-10,2.905407105562448e-17,1.4874685903859964e-10,1.255455773588599e-10,1.4874685903859974e-10
-1.3552527156068805e-20,7.145737104471866e-16,-6.617444900424222e-24,6.159149948814524e-16,8.781063881474519e-17,5.586238896281307e-16,4.714907190762943e-16,6.911905754506503e-08
-1.3234889800848443e-22,4.946732680536892e-17,-1.3732490638087374e-26,2.893396820382048e-11,1.8387810168720645e-10,1.3076923480891139e-11,1.1037207233129441e-11,1.3076923480891137e-11
0.0,3.760450826283708e-16,1.0339757656912846e-25,5.234601706753769e-10,4.6210433165262905e-17,2.365815383704162e-10,1.9967995303654476e-10,2.365815383704162e-10
-1.4693679385278594e-39,9.660971623567312e-33,2.8698592549372254e-42,8.327114762256271e-33,1.1871919207320674e-33,6.078014669980993e-27,5.1299762957708465e-27,6.078014669980993e-27
2.117582368135751e-22,7.145737079605124e-16,1.2536956159006826e-24,6.159149933466446e-16,8.781064258956453e-17,3.5381464360184928e-09,4.714906759724296e-16,5.586238760765858e-16
-2.964615315390051e-21,3.3134276895636377e-16,-8.271806125530277e-25,2.855954206086525e-16,4.071717406692597e-17,2.590299345686467e-16,3.869221744350783e-09,2.590299372957578e-16
-3.308722450212111e-24,5.5075981522702895e-12,-8.077935669463161e-28,4.747183167913374e-12,6.768031508597144e-13,4.305610170021416e-12,3.6340284303902166e-12,4.305610170021419e-12
-2.3822801641527197e-22,7.745499121039009e-17,-4.927540758372528e-26,4.530425226896228e-11,2.8791280362557156e-10,2.04755958846317e-11,1.728184731911345e-11,2.0475595884631634e-11
-6.018531076210112e-36,7.272167848454474e-24,1.4693679385278594e-39,6.268124843166607e-24,8.9364292334688e-25,5.685077048241361e-24,4.7983284148934515e-24,5.685077048241362e-24
