Intercept,input1,input2,input3,input4,input5,input6,input7
-5.293955920339377e-23,3.171240731664291e-14,-5.492996255234949e-26,1.9927331071312806e-10,4.080120883177617e-15,1.764593869590162e-10,1.7004715103583947e-10,1.7645938695901614e-10
-6.776263578034403e-21,1.3656442101994204e-14,1.6543612251060553e-24,1.1787155976329301e-14,1.727281901105929e-15,1.1530427796176518e-14,1.1111431539204797e-14,1.410352697478515e-08
0.0,6.993186050845448e-15,3.877409121342317e-26,1.7882930301821047e-11,1.141100736323128e-10,1.5835924261609326e-11,1.526047353508845e-11,1.5835924261609346e-11
0.0,4.6984496806853305e-14,-1.2924697071141057e-25,2.9523952998663646e-10,6.045029148888259e-15,2.614388564182054e-10,2.5193861018178154e-10,2.6143885641820524e-10
5.877471754111438e-39,1.2068087286605207e-30,-2.6008099497868605e-42,1.0416214276314003e-30,1.5263850266691014e-31,6.746159569633077e-27,6.501015531215159e-27,6.746159569633078e-27
1.0587911840678754e-22,1.3656442104059196e-14,-3.618915179919496e-25,1.1787155978375442e-14,1.7272819005630917e-15,7.219585187383128e-10,1.1111431534296643e-14,1.1530427794909898e-14
-1.0587911840678754e-22,7.230011883721147e-15,2.455692443516801e-25,6.240371917335546e-15,9.144598990283011e-16,6.104454538475356e-15,9.014195716813953e-10,6.1044545385787535e-15
-3.308722450212111e-24,5.336024188655409e-12,-4.4428646182047385e-27,4.6056321944604244e-12,6.749062407468001e-13,4.505319991164664e-12,4.341604276230994e-12,4.505319991164663e-12
0.0,1.0213138135138783e-14,7.754818242684634e-26,2.61169710210632e-11,1.6665107093567398e-10,2.312743873916936e-11,2.228702669847232e-11,2.3127438739169374e-11
-3.851859888774472e-34,1.2019752114885713e-21,-2.82118644197349e-37,1.0374495195776234e-21,1.5202715407124215e-22,1.0148535234748237e-21,9.779754614338436e-22,1.0148535234748239e-21
