Intercept,input1,input2,input3,input4,input5,input6,input7
-8.470329472543003e-22,1.9418502614895388e-11,1.0339757656912846e-25,5.742225152780992e-10,5.541863215173107e-13,5.304128467237569e-10,5.172595387222992e-10,5.304128467237562e-10
4.235164736271502e-21,5.928499609603457e-12,1.6543612251060553e-24,3.1079856862367097e-12,1.5986613517526058e-13,3.1840029128388927e-12,3.105045226857752e-12,9.513911259963252e-09
1.0587911840678754e-22,2.4838832110602877e-12,-1.2924697071141057e-26,5.731112859704562e-11,1.1463916014855575e-10,5.2967988178250424e-11,5.165447500256191e-11,5.2967988178250456e-11
-4.235164736271502e-22,3.1712989185195864e-11,-4.1359030627651384e-25,9.377814952086691e-10,9.050597344914682e-13,8.662344983766312e-10,8.447534026056426e-10,8.662344983766313e-10
7.346839692639297e-39,2.5830175178851232e-28,-4.304788882405838e-42,1.3541337609081123e-28,6.965287254264967e-30,7.161029655014881e-27,6.983448683434373e-27,7.161029655014882e-27
-1.0587911840678754e-22,5.928499609601855e-12,1.1713006720721583e-26,3.1079856862395467e-12,1.5986613517608418e-13,4.900300610435028e-10,3.1050452268626868e-12,3.1840029128395696e-12
2.117582368135751e-22,3.17626053649418e-12,-1.809457589959748e-25,1.6651383879997974e-12,8.565008513468329e-14,1.7058654745889442e-12,6.16812641698557e-10,1.7058654745892904e-12
0.0,5.215948914012527e-12,2.4233807008389483e-27,2.734434617934661e-12,1.4065170769508217e-13,2.8013152785810572e-12,2.731847574516273e-12,2.801315278581062e-12
1.5881867761018131e-22,3.991613024678987e-12,3.877409121342317e-26,9.209927678901089e-11,1.842257167123009e-10,8.511982792181858e-11,8.300900553016205e-11,8.511982792181869e-11
1.9721522630525295e-31,6.348805930937488e-19,9.62964972193618e-35,3.328329131726355e-19,1.7119998886723918e-20,3.409735668097168e-19,3.3251802058321377e-19,3.4097356680971724e-19
