Intercept,input1,input2,input3,input4,input5,input6,input7
1.2705494208814505e-21,2.2892708516544175e-10,-6.203854594147708e-25,2.0733039946945482e-09,5.212728748740625e-18,7.67530062682021e-10,4.3790861864492e-10,7.675300626820222e-10
4.235164736271502e-22,4.372172158435151e-11,1.6543612251060553e-24,4.7791338755108554e-17,9.955541406605142e-19,1.819245296581625e-16,1.0379569983872115e-16,4.119420958925201e-09
0.0,2.124863887075873e-11,1.0339757656912846e-25,1.879119531030706e-10,1.8797035606858524e-10,6.956436557655513e-11,3.9689435916153734e-11,6.95643655765553e-11
2.541098841762901e-21,3.672021769540229e-10,-4.1359030627651384e-25,3.3256079759593118e-09,8.361288062041471e-18,1.2311287224524587e-09,7.024114160940606e-10,1.2311287224524608e-09
2.938735877055719e-39,1.4849044631325995e-27,3.2285916618043785e-42,1.623119385193683e-33,3.381165696089304e-35,4.978479566283423e-27,2.8404348126834623e-27,4.978479566283427e-27
-2.6469779601696886e-23,4.372172158435196e-11,6.462348535570529e-27,4.779133987309485e-17,9.955548884754088e-19,2.1086983603826824e-10,1.0379569895014823e-16,1.819245293818971e-16
-5.293955920339377e-23,1.3704468639001708e-11,-5.169878828456423e-26,1.4980080775725665e-17,3.1205438328257015e-19,5.702380675299131e-17,1.5588219772161854e-10,5.702380692747472e-17
3.101927297073854e-25,1.7347759213395607e-12,4.081319034208656e-28,1.896248882997812e-18,3.950129253351629e-20,7.218340941417264e-18,4.118371207325631e-18,7.21834094163491e-18
2.6469779601696886e-22,3.354841891220608e-11,2.5849394142282115e-26,2.9668483518669403e-10,2.9677704472372426e-10,1.0983171637105363e-10,6.26636760407579e-11,1.0983171637105379e-10
1.2924697071141057e-25,2.744337008952498e-13,3.42900271018481e-29,2.9997799284171696e-19,6.248925678498504e-21,1.141908873887348e-18,6.515076893502953e-19,1.1419088740055614e-18
