Intercept,input1,input2,input3,input4,input5,input6,input7
1.214306433183765e-17,7.417020680880542e-09,-8.470329472543003e-21,1.0764720643433174e-05,1.1413994559131693e-10,2.3399581117983182e-07,1.7265933284600473e-07,2.339958111798331e-07
-5.204170427930421e-18,7.259613431514179e-09,-8.470329472543003e-22,4.212193430718765e-10,1.1171761784811967e-10,4.9605923476466104e-09,3.6602901605071063e-09,1.3291626794325991e-05
-1.0408340855860843e-17,4.359230163416171e-09,0.0,2.7504031457476644e-06,2.0553521235671894e-05,6.146705957526963e-08,4.535492086274615e-08,6.146705957527196e-08
6.88214269644119e-22,3.0670559359654476e-13,-3.101927297073854e-25,4.451383078054302e-10,4.719868161508784e-15,9.676098699847846e-12,7.1397378339558025e-12,9.676098699847856e-12
9.183549615799121e-41,9.26634263345796e-30,-1.5694542800437951e-43,5.376543522043472e-31,1.4259901509239282e-31,2.9233912840153173e-28,2.157093266759471e-28,2.9233912840153146e-28
4.336808689942018e-19,7.259613431508117e-09,-3.705769144237564e-22,4.212193430745897e-10,1.1171761786020974e-10,6.850937610636029e-07,3.660290160513925e-09,4.960592347631238e-09
4.87890977618477e-19,2.942878418250653e-09,-2.895132143935597e-22,1.707525236402334e-10,4.528772360112018e-11,2.010908748698024e-09,6.517185479194904e-07,2.0109087486976675e-09
0.0,5.471820693238757e-12,-2.2214323091023692e-27,3.1748752734234197e-13,8.42054165795506e-14,3.7389693149061656e-12,2.7588867689057932e-12,3.738969314906166e-12
-1.5881867761018131e-22,6.148426098120802e-14,7.754818242684634e-26,3.8792745158503855e-11,2.8989477874836216e-10,8.669550794518022e-13,6.397032702034772e-13,8.669550794518216e-13
0.0,1.060327806090072e-14,-4.338734978715565e-30,6.152263975751921e-16,1.6317300881774678e-16,7.245363751797125e-15,5.346162674042809e-15,7.245363751797141e-15
