Intercept,input1,input2,input3,input4,input5,input6,input7
6.776263578034403e-21,1.9473927220699972e-16,-1.4889251025954498e-23,2.6257608868771952e-08,3.826226886670777e-17,9.038047024572783e-09,7.399895043732637e-09,9.038047024572781e-09
1.734723475976807e-18,6.612496013473106e-16,8.470329472543003e-22,6.086867697428864e-16,1.2992214861460086e-16,5.201807206007582e-16,4.258971656045268e-16,8.279724326268797e-06
-1.6940658945086007e-21,5.2486186296976543e-17,2.895132143935597e-24,2.0656665210528853e-09,2.141225677052822e-08,7.110164412212089e-10,5.82144242567036e-10,7.110164412212122e-10
1.0587911840678754e-22,2.380138009931287e-18,-2.5849394142282115e-26,3.209251641129266e-10,4.676481328887226e-19,1.104646176701552e-10,9.044283290214906e-11,1.1046461767015523e-10
-2.204051907791789e-39,9.97384558891207e-35,3.587324068671532e-43,9.180994445579798e-35,1.9596557832910208e-35,4.6289628013629964e-27,3.7899602423287824e-27,4.6289628013629906e-27
-1.8973538018496328e-19,6.6125132760395e-16,-1.1911400820763599e-22,6.086865745282618e-16,1.2992228758094377e-16,4.238320631430552e-07,4.258975163291065e-16,5.201802375272804e-16
8.131516293641283e-20,2.9743652997116584e-16,-1.3234889800848443e-22,2.7379231597974437e-16,5.84402176326428e-17,2.339817906198494e-16,4.496131629492121e-07,2.3398150276099624e-16
3.308722450212111e-24,5.507606800249325e-12,-4.8467614016778965e-27,5.069790474145198e-12,1.0821315609079415e-12,4.332616877749325e-12,3.547327212713311e-12,4.332616877749319e-12
0.0,6.521679027983717e-19,1.0985992510469899e-25,2.566696921386545e-11,2.6605830598852013e-10,8.834745067211956e-12,7.233441700154505e-12,8.834745067212007e-12
2.407412430484045e-35,3.850286589536228e-23,-2.277520304718182e-38,3.5442156606887936e-23,7.565021956340705e-24,3.0288684844461606e-23,2.4798840750920504e-23,3.02886848444616e-23
