Intercept,input1,input2,input3,input4,input5,input6,input7
2.541098841762901e-21,4.9038512887894816e-11,-4.52364397489937e-25,1.2641362213533128e-09,1.0120167878052051e-12,1.1248211071314793e-09,1.0841324609872186e-09,1.12482110713148e-09
1.1011428314305904e-20,1.446327200856061e-11,-1.6543612251060553e-24,6.7831540322222e-12,2.984811980837881e-13,7.156578969613236e-12,6.897700906737332e-12,1.4044280604838299e-08
2.6469779601696886e-22,5.502332321051767e-12,1.2924697071141057e-26,1.2259165213225267e-10,2.2153280832250482e-10,1.0914029225872804e-10,1.0519231270567576e-10,1.0914029225872806e-10
2.964615315390051e-21,7.124090469045251e-11,-3.101927297073854e-25,1.8364791825367798e-09,1.4702116210172007e-12,1.6340885676968437e-09,1.5749779668396464e-09,1.634088567696843e-09
5.877471754111438e-39,5.313511639731876e-28,0.0,2.4919926751685857e-28,1.0965591460541533e-29,1.2187869683206837e-26,1.1746992539589727e-26,1.218786968320683e-26
3.1763735522036263e-22,1.4463272008562534e-11,0.0,6.78315403222251e-12,2.984811980885056e-13,7.257050469029513e-10,6.897700906738612e-12,7.156578969615834e-12
5.293955920339377e-22,7.658474914460246e-12,-2.0679515313825692e-25,3.591760907624359e-12,1.5804935194772857e-13,3.789493862779447e-12,9.009762517366129e-10,3.7894938627793435e-12
3.308722450212111e-24,5.2552805695742745e-12,-1.2495556738700827e-27,2.464682788574018e-12,1.0845418932660971e-13,2.6003680482107633e-12,2.5063037968487707e-12,2.600368048210767e-12
6.352747104407253e-22,7.882412703397793e-12,-2.5849394142282115e-26,1.7561970810099627e-10,3.173586982123443e-10,1.5634984874710366e-10,1.5069413724769626e-10,1.5634984874710358e-10
0.0,1.349653049609111e-18,2.4976903966271965e-34,6.329760319889992e-19,2.78530376123003e-20,6.6782251107442855e-19,6.436650751337263e-19,6.678225110744301e-19
