Intercept,input1,input2,input3,input4,input5,input6,input7
2.541098841762901e-21,1.0262151002097508e-09,1.6543612251060553e-24,3.2826171175697222e-09,5.399346020021518e-14,2.470437505131727e-09,2.1691836451949923e-09,2.5688309432992196e-09
-2.710505431213761e-20,9.890552328769269e-10,4.632211430296955e-23,1.0139278838934371e-11,4.5817266162498405e-14,1.4296442500828985e-10,8.064476196520159e-11,6.900321078412634e-08
3.1763735522036263e-22,9.633989840271555e-11,2.8434333556510326e-25,3.0057378170352854e-10,3.028291782008168e-10,2.265322335011804e-10,1.98799999207953e-10,2.3542662725882004e-10
-4.235164736271502e-22,5.846377906994161e-10,1.4475660719677984e-24,1.8701167220554334e-09,3.07602346488816e-14,1.407415584477349e-09,1.2357903656737243e-09,1.4634706184539568e-09
0.0,2.328529850807171e-27,2.5111268480700722e-42,2.3870874605588844e-29,1.0786745609561504e-31,5.742340174499528e-27,5.044842701073175e-27,5.974297318394656e-27
4.235164736271502e-22,9.686301984682417e-10,7.237830359838992e-25,9.929892029859825e-12,4.487109124612026e-14,3.5944961407957867e-09,7.897936251808674e-11,9.353040751894114e-11
0.0,4.588367465081869e-10,-4.1359030627651384e-25,4.7037552198593045e-12,2.1255279416516362e-14,6.63232238774142e-11,3.89664329192076e-09,4.4305027814991207e-11
2.0679515313825692e-24,3.2176859988792263e-12,-9.087677628146056e-28,3.29860400856693e-14,1.4905696960824759e-16,4.651050956466536e-13,2.6236100152228534e-13,3.106980179010314e-13
1.0587911840678754e-22,6.008319470676763e-11,2.1971985020939798e-25,1.8745538815446297e-10,1.8886198530823064e-10,1.4127874866460018e-10,1.2398330554789113e-10,1.4682581276575838e-10
2.524354896707238e-29,3.655419422318783e-17,-7.703719777548943e-34,3.7473455034624556e-19,1.693346528937108e-21,5.283779090434581e-18,2.980525448902163e-18,3.5296532026648334e-18
