Intercept,input1,input2,input3,input4,input5,input6,input7
8.470329472543003e-22,3.306065060066399e-15,-1.4475660719677984e-24,2.656084663108078e-09,5.058652196058714e-16,1.9447523187638674e-09,1.7846249112058632e-09,1.944752318763869e-09
0.0,3.669266042654079e-15,-2.6469779601696886e-23,3.2756080668889376e-15,5.61438971471684e-16,3.09706867142065e-15,2.8420615196185053e-15,3.35587651161868e-07
0.0,7.026226103323133e-16,-3.4896682092080855e-25,2.0780662907648039e-10,1.6439123470506181e-09,1.5215352654629005e-10,1.3962547887585388e-10,1.5215352654628964e-10
-1.0587911840678754e-22,5.234261702909556e-16,-1.550963648536927e-25,4.205193177108888e-10,8.009010423577055e-17,3.0789904010298983e-10,2.8254718701322055e-10,3.0789904010299025e-10
2.938735877055719e-39,1.673918195783462e-32,-4.304788882405838e-42,1.4943315764352008e-32,2.561283519194394e-33,9.84661896777798e-27,9.035866074821421e-27,9.846618967777983e-27
3.3881317890172014e-21,3.6692659133627426e-15,-4.1359030627651384e-24,3.2756080471916993e-15,5.61439045989025e-16,1.7178450044600673e-08,2.8420615615979214e-15,3.097068623340777e-15
8.470329472543003e-21,1.849859262116076e-15,-3.308722450212111e-24,1.6513967719180654e-15,2.830493245878634e-16,1.5613861776082445e-15,2.042494178442653e-08,1.5613861734723415e-15
6.617444900424222e-24,5.507592236068356e-12,-4.4428646182047385e-27,4.916709197636076e-12,8.427236926971175e-13,4.648720333857882e-12,4.26595306404123e-12,4.648720333857889e-12
-5.293955920339377e-23,1.1925911637244144e-16,-4.8467614016778965e-26,3.5271900729015577e-11,2.790282166168634e-10,2.5825663539998096e-11,2.3699224861290937e-11,2.582566353999804e-11
0.0,2.0619230522152095e-22,-1.410593220986745e-37,1.8407092611637098e-22,3.1549746861080955e-23,1.7403800442796983e-22,1.5970802821622597e-22,1.7403800442796962e-22
