Intercept,input1,input2,input3,input4,input5,input6,input7
-8.470329472543003e-22,1.0103109452046209e-09,-6.203854594147708e-25,2.0917721318487324e-09,3.1202336195780375e-16,2.032430360787614e-09,1.9733130105818236e-09,2.032430360787612e-09
6.776263578034403e-21,1.8822978180620331e-10,1.819797347616661e-23,2.492064565392746e-15,5.813265554407849e-17,3.1332540470679704e-14,3.042117008777547e-14,1.1204885953814382e-08
0.0,1.0060313679148765e-10,-1.2924697071141057e-25,2.0652968426919575e-10,2.0659561822069309e-10,2.006707459511621e-10,1.9483383119465613e-10,2.0067074595116188e-10
-2.541098841762901e-21,1.6062314039105282e-09,-2.895132143935597e-24,3.3255802126540606e-09,4.960668044265691e-16,3.2312363705978554e-09,3.137249321494587e-09,3.2312363705978517e-09
-5.877471754111438e-39,6.495427331399685e-27,2.0806479598294884e-41,8.599608478260003e-32,2.0060408565605974e-33,1.3066772934893528e-26,1.2686699399998892e-26,1.306677293489348e-26
-6.352747104407253e-22,1.8822978180621422e-10,-1.0856745539758488e-24,2.4920645633441814e-15,5.813268780412238e-17,5.735983329241944e-10,3.042117009848681e-14,3.133254044692411e-14
7.940933880509066e-22,1.0040272348076573e-10,1.6802106192483375e-24,1.3292799192616224e-15,3.100826845390599e-17,1.6712936521261073e-14,7.215533958329411e-10,1.6712936519264208e-14
-1.6543612251060553e-24,2.637193031554192e-12,-1.0827978740773473e-26,3.4915066238029236e-17,8.144679224395117e-19,4.389845035774501e-16,4.2621575090355426e-16,4.389845035877761e-16
6.352747104407253e-22,1.574583493092926e-10,-4.652890945610781e-25,3.2324860044670613e-10,3.233517965447339e-10,3.140785210069905e-10,3.0494291160225166e-10,3.1407852100699007e-10
-1.6155871338926322e-26,3.1351153735912486e-14,-1.255737138619588e-28,4.1507299474595227e-19,9.682457346461835e-21,5.218681565844212e-18,5.0668856512837074e-18,5.218681565965957e-18
