Intercept,input1,input2,input3,input4,input5,input6,input7
8.470329472543003e-22,5.0624534656379094e-15,-2.0679515313825692e-25,2.392662766338798e-09,8.554185550273493e-16,1.790058635252211e-09,1.6508704171303507e-09,1.7900586352522098e-09
0.0,5.254792470111013e-15,2.6469779601696886e-23,4.756494754850231e-15,8.879186982226734e-16,4.49879695822338e-15,4.148987478486396e-15,3.1533831440430835e-07
0.0,1.1425218235008923e-15,-4.1359030627651384e-25,1.840186439478897e-10,1.6159977488314385e-09,1.3767275929194918e-10,1.269678440045981e-10,1.376727592919493e-10
0.0,8.015028687656507e-16,2.0679515313825692e-25,3.788135702103926e-10,1.3543244016954383e-16,2.8340747055776877e-10,2.613707729588651e-10,2.8340747055776877e-10
5.877471754111438e-39,2.8454086706845805e-32,5.560352306440874e-42,2.5755862713091985e-32,4.807975798004487e-33,1.0061225050132462e-26,9.278902080776967e-27,1.006122505013246e-26
1.6940658945086007e-21,5.254792445862051e-15,1.6543612251060553e-24,4.756494707494141e-15,8.879186709257132e-16,1.614190500816935e-08,4.148987500820273e-15,4.498797009715373e-15
5.082197683525802e-21,2.662429666689452e-15,-2.481541837659083e-24,2.409958672591448e-15,4.498790431768347e-16,2.27939176750184e-15,1.928833266809967e-08,2.279391765227093e-15
6.617444900424222e-24,5.507582394832738e-12,2.4233807008389483e-27,4.9853132697712154e-12,9.306333790541087e-13,4.715218629169106e-12,4.348580986063866e-12,4.7152186291691036e-12
-1.5881867761018131e-22,1.9392507592291734e-16,0.0,3.123426509762215e-11,2.742901534393177e-10,2.3367781482313057e-11,2.155079079724206e-11,2.3367781482313135e-11
9.62964972193618e-35,3.3091418085526466e-22,4.70197740328915e-38,2.995344851347114e-22,5.591560147973245e-23,2.833062854745298e-22,2.6127745564663583e-22,2.833062854745299e-22
