Intercept,input1,input2,input3,input4,input5,input6,input7
1.0587911840678754e-22,7.893892831451782e-13,0.0,3.644775062774907e-10,8.312114729739577e-14,2.7743320265870203e-10,2.5687471264064285e-10,2.774332026587019e-10
-1.5246593050577406e-20,5.171447727662845e-13,0.0,4.2908001277394747e-13,5.3196451675174214e-14,4.142570794686084e-13,3.8355960003717406e-13,2.9933887083828855e-08
-2.6469779601696886e-23,1.5793770216806055e-13,7.754818242684634e-26,3.328427412435135e-11,1.7473195981878424e-10,2.534992012232321e-11,2.347142802116517e-11,2.5349920122323444e-11
2.117582368135751e-22,7.757813402100009e-13,0.0,3.581944350317682e-10,8.168825752636617e-14,2.7265065079140917e-10,2.524465597561766e-10,2.726506507914093e-10
2.938735877055719e-39,1.6424052554402406e-29,3.587324068671532e-43,1.362719503491603e-29,1.689471428056784e-30,5.8085036877638174e-27,5.378079124516232e-27,5.80850368776382e-27
8.470329472543003e-22,5.171447727587116e-13,-3.101927297073854e-25,4.2908001276354147e-13,5.31964516576354e-14,1.5326833315670338e-09,3.835596000399787e-13,4.142570794747218e-13
3.1763735522036263e-22,2.630582377746542e-13,3.101927297073854e-25,2.1826196061007793e-13,2.705966600851635e-14,2.1072191589811897e-13,1.8383927307910292e-09,2.1072191589887507e-13
1.6543612251060553e-24,5.3310832619829126e-12,2.8272774843121063e-27,4.423251272350493e-12,5.48385535292626e-13,4.270446302232523e-12,3.953995614875151e-12,4.2704463022325275e-12
0.0,1.543998428746081e-13,-1.2924697071141057e-26,3.253869484264642e-11,1.7081790333054967e-10,2.4782073121500332e-11,2.2945659894775224e-11,2.4782073121500507e-11
7.395570986446986e-32,4.595023937907807e-20,-6.018531076210112e-36,3.812535741989473e-20,4.7267028820231565e-21,3.6808284583065346e-20,3.408069918978513e-20,3.6808284583065334e-20
