Intercept,input1,input2,input3,input4,input5,input6,input7
8.470329472543003e-22,1.0459550058487926e-12,-2.5849394142282115e-25,3.7040843826142925e-10,1.1776634314880562e-13,2.722149253799938e-10,2.499642175723158e-10,2.7221492537999287e-10
8.131516293641283e-20,7.162816150624662e-13,-2.3161057151484775e-23,6.029858884678079e-13,7.912188308521797e-14,5.780657834223192e-13,5.308149838925275e-13,3.3293601212880213e-08
5.293955920339377e-22,2.1462373831285004e-13,-1.8417693326376007e-25,3.351677339683231e-11,1.875668360065299e-10,2.4654291219600376e-11,2.2639062152468626e-11,2.4654291219599918e-11
8.470329472543003e-22,9.480323847171975e-13,-2.3264454728053903e-25,3.357306892559871e-10,1.0674102280747801e-13,2.4673008248016735e-10,2.2656249260622134e-10,2.4673008248016663e-10
3.3795462586140766e-38,2.1450373091667378e-29,-1.578422590215474e-41,1.8057523751643838e-29,2.369450614698836e-30,5.6112470667807616e-27,5.1525866213795914e-27,5.611247066780727e-27
5.1880768019325896e-21,7.162816150749683e-13,-2.274746684520826e-24,6.029858884880609e-13,7.912188313949362e-14,1.7048196704830957e-09,5.308149839402972e-13,5.78065783365037e-13
1.0587911840678754e-21,3.613487556639145e-13,-4.1359030627651384e-25,3.0419348465993124e-13,3.991529786268183e-14,2.9162182459376523e-13,2.027909975852865e-09,2.916218245929122e-13
2.150669592637872e-23,5.329762109283921e-12,-6.058451752097371e-27,4.486742746511794e-12,5.887360584442666e-13,4.301315354198398e-12,3.9497280523583255e-12,4.301315354198385e-12
5.558653716356346e-22,1.939259205235218e-13,-1.40556080648659e-25,3.028449315557577e-11,1.694783234053672e-10,2.2276688297392143e-11,2.0455803268637034e-11,2.2276688297391726e-11
3.2047474274603605e-31,7.797738235587102e-20,-8.425943506694157e-35,6.564354046266938e-20,8.613535800412075e-21,6.29306346381323e-20,5.778671697259584e-20,6.293063463813206e-20
