Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,5.269481382805166e-17,-1.9387045606711586e-26,1.1090631685895037e-10,1.0411582224483443e-17,2.0706861470496264e-11,1.624323101588195e-11,2.070686147049631e-11
-1.3552527156068805e-20,4.807163032229381e-16,-7.444625512977249e-24,4.428292859777397e-16,9.42031373242596e-17,3.630305157101379e-16,2.8477462159112776e-16,1.0277868536835592e-07
5.293955920339377e-23,1.5453662945488532e-17,7.108583389127582e-26,9.216529393464486e-12,9.404411413758621e-11,1.7207866882807394e-12,1.3498489738110957e-12,1.7207866882807586e-12
2.6469779601696886e-23,8.773851662600418e-17,-1.9387045606711586e-26,1.8466249366204775e-10,1.733561075897373e-17,3.447757335517208e-11,2.7045488746472703e-11,3.447757335517214e-11
-1.1020259538958945e-39,3.6097010264190456e-33,0.0,3.325207040834043e-33,7.073720475062598e-34,1.4221971642796907e-27,1.115624264084748e-27,1.4221971642796903e-27
-4.235164736271502e-22,4.80716292183784e-16,-8.271806125530277e-25,4.4282924821177487e-16,9.420316710276165e-17,5.261154037435649e-09,2.8477462479645263e-16,3.6303052396901935e-16
4.235164736271502e-22,2.0716855425184615e-16,-1.4475660719677984e-24,1.9084082603578976e-16,4.0597615009699385e-17,1.5645092736462658e-16,5.347285671199613e-09,1.5645092430793572e-16
3.308722450212111e-24,5.336365202896445e-12,-8.077935669463161e-28,4.9157863824292644e-12,1.045736350879076e-12,4.0299517626058545e-12,3.161243801052902e-12,4.029951762605859e-12
3.970466940254533e-23,2.531076553405954e-17,7.754818242684634e-26,1.5095282918416064e-11,1.5403005286624917e-10,2.818388657259804e-12,2.2108487139704796e-12,2.8183886572598574e-12
-7.52316384526264e-37,1.844906587702371e-24,9.183549615799121e-41,1.6995026269489282e-24,3.6153557887857415e-25,1.3932488261708276e-24,1.0929161127747048e-24,1.3932488261708274e-24
