Intercept,input1,input2,input3,input4,input5,input6,input7
6.776263578034403e-21,7.891634566462248e-11,-6.617444900424222e-24,1.553209190017889e-08,6.36446969165956e-12,1.384493346872564e-08,1.3365661798423387e-08,1.3844933468725649e-08
2.168404344971009e-19,6.283920344881229e-11,7.940933880509066e-23,4.893982701055511e-11,4.908862030091914e-12,4.838517043587524e-11,4.6710215370091735e-11,1.3412020380450907e-06
-3.3881317890172014e-21,1.2640851909895024e-11,-2.68833699079734e-24,1.322136668096512e-09,5.49935327532538e-09,1.1789714479369044e-09,1.1381588563583483e-09,1.1789714479369027e-09
-5.293955920339377e-22,2.2940371418488186e-12,-1.550963648536927e-25,4.5150590045112007e-10,1.8501021224307112e-13,4.0246150954146936e-10,3.8852945271028083e-10,4.0246150954146967e-10
-2.938735877055719e-39,3.850477091404222e-29,2.8698592549372254e-42,2.998791716252814e-29,3.007909036963471e-30,6.8165908820826e-27,6.580620163609834e-27,6.816590882082599e-27
4.0657581468206416e-20,6.283920344894455e-11,-3.3087224502121107e-23,4.893982700984311e-11,4.90886203043933e-12,6.870090264911118e-08,4.6710215370042104e-11,4.838517043608038e-11
6.776263578034403e-21,3.332783595916377e-11,1.3234889800848443e-23,2.5956066228309524e-11,2.6034981272327464e-12,2.5661894719296628e-11,8.589652243123807e-08,2.5661894719287115e-11
-1.6543612251060553e-24,5.3231322729245855e-12,-8.077935669463161e-28,4.145710930262372e-12,4.1583152655073295e-13,4.098725765812429e-12,3.956839699813682e-12,4.098725765812431e-12
0.0,4.0251746770507165e-13,-4.8467614016778965e-26,4.210025616909941e-11,1.751136529545777e-10,3.754150472632867e-11,3.6241926095886676e-11,3.754150472632866e-11
-6.310887241768095e-30,8.528599704780873e-18,3.0814879110195774e-33,6.642162396711759e-18,6.662356771816021e-19,6.566883850338765e-18,6.339557269193234e-18,6.566883850338778e-18
