Intercept,input1,input2,input3,input4,input5,input6,input7
-8.470329472543003e-22,9.19206217748721e-13,4.1359030627651384e-25,2.243834439971809e-09,1.0879150066284677e-13,1.7130906966840055e-09,1.5874586657780022e-09,1.713090696684003e-09
-8.131516293641283e-20,8.657237290897512e-13,-3.308722450212111e-24,7.350309449931837e-13,1.0030061517848376e-13,7.06515979809473e-13,6.547025891669708e-13,2.9599626902336776e-07
-1.0587911840678754e-22,1.8027682810148697e-13,0.0,1.864110910139652e-10,1.0922015541962234e-09,1.4233593119539702e-10,1.3189751591383137e-10,1.4233593119539718e-10
-6.352747104407253e-22,1.3168526709024086e-13,5.169878828456423e-26,3.214511954213838e-10,1.5585444860481018e-14,2.454169712811978e-10,2.2741895600942132e-10,2.454169712811977e-10
-1.0285575569695016e-38,3.1039637058647324e-30,2.8698592549372254e-42,2.6353781228409517e-30,3.5961757634379024e-31,5.817564127536611e-27,5.390924488617863e-27,5.817564127536608e-27
-5.929230630780102e-21,8.657237290646788e-13,6.617444900424222e-24,7.350309449954584e-13,1.0030061519171865e-13,1.5152468198984966e-08,6.547025891260253e-13,7.065159797263414e-13
-6.776263578034403e-21,4.407357100189292e-13,2.895132143935597e-24,3.742006538056392e-13,5.1062551903507626e-14,3.5968382465754735e-13,1.8192291369904187e-08,3.5968382465027075e-13
-4.963083675318166e-24,5.335403667122696e-12,0.0,4.5299518400764765e-12,6.181467044763251e-13,4.3542158110901886e-12,4.034892977565291e-12,4.354215811090189e-12
0.0,2.7820122033778742e-14,0.0,2.87667547464563e-11,1.685473437892566e-10,2.19651245107498e-11,2.0354279733686806e-11,2.1965124510749854e-11
-9.860761315262648e-32,1.188769470189267e-19,-2.407412430484045e-35,1.0093085331282332e-19,1.3772789768610832e-20,9.701531778627042e-20,8.990055648024448e-20,9.701531778627034e-20
