Intercept,input1,input2,input3,input4,input5,input6,input7
6.776263578034403e-21,7.087396505382359e-12,-1.6543612251060553e-24,2.0156058391287466e-08,1.171758927128847e-12,1.5814528568149366e-08,1.4757844595055064e-08,1.581452856814936e-08
1.0842021724855044e-19,3.724120043273966e-12,-2.3822801641527197e-22,3.5544736818796628e-12,6.157085907762944e-13,3.3545599845164607e-12,3.1304173709172425e-12,1.1392569986223197e-06
-2.371692252312041e-20,2.1998662709158473e-12,-1.4889251025954498e-23,2.119566298302139e-09,4.19013442981689e-08,1.663241700193996e-09,1.552108393854576e-09,1.6632417001939762e-09
-5.293955920339377e-23,5.3990787016500404e-14,-3.877409121342317e-26,1.5354601014215095e-10,8.92629424946212e-15,1.204728482513237e-10,1.1242317877229913e-10,1.204728482513238e-10
7.346839692639297e-40,1.693222297360549e-30,-2.152394441202919e-42,1.6160902502179006e-30,2.7994036188760804e-31,3.778187430822057e-27,3.525739178046656e-27,3.778187430822053e-27
-1.3552527156068805e-20,3.724120043647765e-12,2.6469779601696886e-23,3.5544736817121587e-12,6.157085896777985e-13,1.3599991555447985e-07,3.1304173708907727e-12,3.354559984851469e-12
1.3552527156068805e-20,1.9092693618409843e-12,0.0,1.8222956345702498e-12,3.1565941276499986e-13,1.7198045516661746e-12,1.5464001812419973e-07,1.7198045515454062e-12
0.0,5.742118141162685e-12,-2.4233807008389483e-27,5.480545087301322e-12,9.493441191482586e-13,5.172303663466854e-12,4.826704339300469e-12,5.1723036634668535e-12
-5.293955920339377e-23,1.3214752339790531e-14,-6.462348535570529e-26,1.2732384722733729e-11,2.5170433990735326e-10,9.991210574883772e-12,9.323624940522553e-12,9.99121057488371e-12
-1.5777218104420236e-30,3.221147580799322e-18,3.851859888774472e-34,3.074413328919717e-18,5.325521763161228e-19,2.9014995900732527e-18,2.707629244741239e-18,2.9014995900732527e-18
