Intercept,input1,input2,input3,input4,input5,input6,input7
-6.617444900424221e-23,1.0327261122151367e-13,1.1713006720721583e-26,6.865399426634357e-11,1.825062149657901e-14,5.857266770305848e-12,4.471732411623023e-12,5.857266770305888e-12
5.293955920339377e-23,1.8721445858897444e-14,3.101927297073854e-25,1.8137916732537153e-14,3.3085056937881446e-15,1.382089270505596e-14,1.0551565481097418e-14,4.855691409344869e-10
-7.940933880509066e-23,2.6037341797981975e-14,-1.2924697071141057e-26,4.789210672624217e-12,1.268123291868809e-10,4.2095979900605055e-13,3.2138190917799367e-13,4.209597990060667e-13
-6.617444900424221e-23,1.7190074420195472e-13,1.0703264762038688e-26,1.142768887823436e-10,3.037877497529648e-14,9.74961807294141e-12,7.443349406371853e-12,9.749618072941443e-12
0.0,7.25169974396929e-30,5.829401611591239e-43,7.025671367211556e-30,1.2815404362142152e-30,4.112914298979079e-28,3.1400058932285963e-28,4.112914298979083e-28
5.955700410381799e-23,1.8721445858999106e-14,9.693522803355793e-27,1.813791673238852e-14,3.3085056938349966e-15,5.797620182729758e-11,1.055156548103441e-14,1.3820892705093118e-14
-2.3161057151484775e-23,7.852302799551029e-15,2.9888361977013695e-26,7.607554213966773e-15,1.3876806693979007e-15,5.7968724903789035e-15,5.392441469198e-11,5.7968724903946555e-15
1.3234889800848443e-23,1.0450974612002028e-11,9.693522803355793e-27,1.0125227971836272e-11,1.8469251397598313e-12,7.715312153968622e-12,5.890257824621638e-12,7.715312153968638e-12
-6.617444900424221e-23,4.270372196353944e-14,-2.5849394142282115e-26,7.85476192521537e-12,2.0798430535510242e-10,6.904141887471574e-13,5.270969594413683e-13,6.904141887471122e-13
1.5407439555097887e-33,3.639771040700048e-21,4.137740114894452e-36,3.526322943130366e-21,6.432304055469282e-22,2.6870192293574685e-21,2.0514057921156622e-21,2.6870192293574677e-21
