Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,3.5906384081977203e-07,-8.470329472543003e-22,5.520881662996751e-06,2.3410689756052854e-12,3.814468482080046e-07,1.8040426497937264e-07,3.8144684820800394e-07
-1.734723475976807e-18,6.948177536628705e-07,-8.470329472543003e-22,2.8998007311958137e-11,4.529390037228665e-12,2.338693041813388e-10,1.1060786089405638e-10,1.773148962351729e-05
3.469446951953614e-18,1.7094359962843026e-07,-5.505714157152952e-21,1.4972094996958849e-06,1.9786304832359712e-05,1.0346923198905001e-07,4.8935496079352e-08,1.0346923198905912e-07
0.0,1.4653229443956703e-11,-5.169878828456423e-26,2.253046298288525e-10,9.553794315129061e-17,1.5566669633747787e-11,7.362214700805793e-12,1.5566669633747884e-11
0.0,3.0688125186451914e-28,4.484155085839415e-44,1.2807595573546986e-32,2.0005028291819093e-33,3.2603676555008964e-28,1.5419821482767187e-28,3.2603676555008946e-28
-8.673617379884035e-19,6.948177536628712e-07,6.352747104407253e-22,2.8998007314816873e-11,4.52939002817538e-12,2.116873844304252e-06,1.1060786089009915e-10,2.3386930418922677e-10
3.2526065174565133e-19,1.8053463230804805e-07,1.0587911840678754e-22,7.53455789040191e-12,1.176872293177605e-12,6.07663068724941e-11,1.2198116357428419e-06,6.076630687252718e-11
4.1359030627651384e-25,4.214691509700964e-12,-3.403934806028666e-28,1.7589886640566401e-16,2.747480413889167e-17,1.4186266334515642e-15,6.70935665848677e-16,1.4186266334523103e-15
-2.6469779601696886e-23,2.3678167681373385e-12,-3.069615554396001e-26,2.0738522919256714e-11,2.740690172862521e-10,1.4331989207112836e-12,6.778275900687183e-13,1.4331989207114056e-12
4.1359030627651384e-25,4.183339533162309e-12,3.378296826608983e-28,1.7459040121429494e-16,2.727042633172934e-17,1.4080738447527825e-15,6.659447527049108e-16,1.4080738447530251e-15
