Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,1.0551320752756345e-09,6.203854594147708e-25,1.7814571492020822e-09,5.0065106574772e-22,1.733081109216488e-09,1.687536024090668e-09,1.7330811092164877e-09
0.0,1.8706044845585973e-10,4.499410167890981e-25,9.560498589925342e-21,8.87799966171576e-23,5.763824073514047e-20,5.612355307621119e-20,4.2942438693139e-09
2.117582368135751e-22,1.0670876964635605e-10,-5.169878828456423e-26,1.7785314461959293e-10,1.7797318184866673e-10,1.7302348546169254e-10,1.684764568591586e-10,1.7302348546169254e-10
0.0,1.7623474420615109e-09,2.895132143935597e-24,2.975500909891617e-09,8.349354307957123e-22,2.8947002287983034e-09,2.8186279851893696e-09,2.8947002287982984e-09
2.938735877055719e-39,2.7927641757624655e-27,2.152394441202919e-42,1.4273971437554196e-37,1.3218952881423156e-39,4.590746625238952e-27,4.4701025626352616e-27,4.590746625238945e-27
5.293955920339377e-23,1.8706044845586009e-10,1.550963648536927e-25,9.560656917464463e-21,8.843885529641658e-23,5.126184159251676e-10,5.612297671550117e-20,5.763760689486946e-20
0.0,1.0006748493211984e-10,1.0339757656912846e-25,5.1145869743860815e-21,4.74950305621756e-23,3.0833260730490676e-20,6.082066216270094e-10,3.083294904839158e-20
-2.274746684520826e-24,3.615818116433486e-12,1.2523251376202245e-27,1.8480568101147456e-22,1.7090854826814283e-24,1.114117589706999e-21,1.0848390043792438e-21,1.1141158468227285e-21
2.117582368135751e-22,1.7531671374384625e-10,5.169878828456423e-26,2.922030583526728e-10,2.924002730014583e-10,2.8426819062931595e-10,2.767976695602656e-10,2.8426819062931595e-10
-1.4475660719677984e-24,3.6152348014758676e-12,6.016307427871097e-28,1.8477574066853122e-22,1.708597590781286e-24,1.1139373846997641e-21,1.08466399601305e-21,1.113936318367311e-21
