Intercept,input1,input2,input3,input4,input5,input6,input7
-7.940933880509066e-23,1.927345300405072e-16,-5.169878828456423e-26,1.514408162087232e-10,2.110292619914012e-17,5.650274300525583e-11,4.664310792529905e-11,5.6502743005255846e-11
-3.3881317890172014e-21,8.48718580024328e-16,9.098986738083304e-24,7.886913407176121e-16,9.292805391964559e-17,6.750075177359751e-16,5.572198306714437e-16,3.363346472614124e-08
-3.970466940254533e-23,3.8936777520119076e-17,-2.5849394142282115e-26,1.3503954585980685e-11,1.7016302758470906e-10,5.0383507718230076e-12,4.159166906176405e-12,5.038350771822875e-12
0.0,3.067694309893664e-16,-6.462348535570529e-26,2.410435380148623e-10,3.358885750234176e-17,8.993362174408883e-11,7.424035368924226e-11,8.993362174408886e-11
3.6734198463196485e-40,6.126383516764634e-33,1.793662034335766e-43,5.693083467469297e-33,6.707911609153601e-34,1.7960324664175104e-27,1.4826277754455285e-27,1.7960324664175122e-27
-4.235164736271502e-22,8.48718578190813e-16,1.7060600133906196e-24,7.88691352970225e-16,9.292805817187093e-17,4.014941043314027e-09,5.572198321190098e-16,6.75007524779935e-16
8.470329472543003e-22,3.8490939134820543e-16,-4.1359030627651384e-25,3.5768594667606796e-16,4.2144572415734564e-17,3.0612825299258055e-16,4.03849780418626e-09,3.0612825338032146e-16
-1.6543612251060553e-24,5.74429596949531e-12,7.068193710780266e-28,5.3380197859486734e-12,6.289555575469024e-13,4.568585059040072e-12,3.771374532292931e-12,4.568585059040075e-12
-1.0587911840678754e-22,6.101211093537083e-17,0.0,2.1160065826268807e-11,2.666375128829086e-10,7.894860228446456e-12,6.517220193297897e-12,7.894860228446375e-12
-7.52316384526264e-36,5.9769458078518024e-24,-4.775445800215543e-39,5.554215025006631e-24,6.544288983311819e-25,4.753617407851478e-24,3.924119042669694e-24,4.753617407851471e-24
