Intercept,input1,input2,input3,input4,input5,input6,input7
1.3234889800848443e-22,3.026342135142583e-14,-2.5849394142282115e-26,9.473059310943431e-11,5.151047501829766e-15,8.267819314580679e-11,7.937381887058173e-11,8.267819314580673e-11
7.199780051661553e-21,1.7251159522379632e-14,-2.946830932220161e-24,1.65754316030792e-14,2.9357632578214e-15,1.5990242952628742e-14,1.5351165765678155e-14,6.623861511157506e-09
6.617444900424221e-23,7.654300423055491e-15,-6.462348535570529e-26,7.932912670309706e-12,1.6805926187692957e-10,6.924075063014377e-12,6.647342654535176e-12,6.92407506301437e-12
2.117582368135751e-22,4.487298649220222e-14,-5.169878828456423e-26,1.4046146916556024e-10,7.637698404418723e-15,1.2259081354846297e-10,1.1769126367617612e-10,1.2259081354846297e-10
5.877471754111438e-39,1.50789257652077e-30,-8.071479154510946e-43,1.4488284242539068e-30,2.5660974358179997e-31,4.119778387581834e-27,3.955124453992045e-27,4.119778387581831e-27
1.0587911840678754e-22,1.7251159523117716e-14,2.5849394142282115e-26,1.6575431603906382e-14,2.9357632571751652e-15,7.907268351001537e-10,1.5351165764970528e-14,1.599024295654654e-14
5.293955920339377e-23,9.098743856682584e-15,1.0339757656912846e-25,8.742346059390286e-15,1.5484036225878273e-15,8.433701205786097e-15,9.249762278879104e-10,8.43370120592423e-15
1.3234889800848443e-23,5.557823516271696e-12,0.0,5.340123568981302e-12,9.45817818574253e-13,5.1515927505081375e-12,4.94570060514891e-12,5.151592750508136e-12
1.852884572118782e-22,1.1187616930653477e-14,0.0,1.1594839919374044e-11,2.4563742466549317e-10,1.0120310821755992e-11,9.715835427891063e-12,1.0120310821756047e-11
1.5407439555097887e-33,1.1280774659140824e-21,2.82118644197349e-37,1.0838906715421522e-21,1.919736682659845e-22,1.0456243668767997e-21,1.0038342148670325e-21,1.0456243668767995e-21
