Intercept,input1,input2,input3,input4,input5,input6,input7
1.6940658945086007e-21,1.4971273452813902e-12,-8.271806125530277e-25,6.726656982200023e-09,2.2597781826997066e-13,5.836404890643868e-09,5.593796643321058e-09,5.836404890643872e-09
0.0,1.502650638614042e-12,-2.117582368135751e-22,1.4294181553065481e-12,2.268115095228974e-13,1.378519466707429e-12,1.321217034776508e-12,6.900776989373287e-07
-2.541098841762901e-21,3.276975182120297e-13,-4.963083675318166e-24,5.206224887055921e-10,9.279153699889202e-09,4.5173922169204444e-10,4.329612816972792e-10,4.51739221692049e-10
-5.293955920339377e-23,3.791478016154181e-14,-5.169878828456423e-26,1.7035272350481198e-10,5.722892797390811e-15,1.4780707136233486e-10,1.416630126143515e-10,1.4780707136233484e-10
-4.408103815583578e-39,1.0716142956201113e-30,7.174648137343064e-43,1.0193885992534396e-30,1.617504758800021e-31,4.177583781062342e-27,4.0039295712948764e-27,4.177583781062343e-27
-1.3552527156068805e-20,1.502650638609518e-12,8.602678370551488e-23,1.4294181553892662e-12,2.2681150933140508e-13,8.237812305716445e-08,1.3212170350254894e-12,1.378519466515523e-12
-6.098637220230962e-20,7.912179489927733e-13,-8.602678370551488e-23,7.526575186358847e-13,1.1942718607004667e-13,7.258569069731872e-13,9.620370602425742e-08,7.258569069984162e-13
4.963083675318166e-24,5.742424796174523e-12,3.2311742677852644e-27,5.462564649625932e-12,8.667670329562866e-13,5.268053772996636e-12,5.049070800324912e-12,5.268053772996638e-12
7.940933880509066e-23,9.025537201780895e-15,-1.550963648536927e-25,1.4339130993559667e-11,2.555690606890513e-10,1.2441928682097086e-11,1.1924741378022693e-11,1.2441928682097175e-11
0.0,1.3019540345421895e-19,4.81482486096809e-35,1.238502607690377e-19,1.9651817405033833e-20,1.1944020352704203e-19,1.1447530150593184e-19,1.1944020352704198e-19
